"X","study.name","species","tag","id","id.tag","sex","age.at.deployment","captive.raised","rehabilitated","start.date","end.date","start.date.adjusted","end.date.adjusted","start.lat","start.long","end.lat","end.long","start.country","end.country","deployment.duration","fate","how.fate.determined","cause.of.death","comments"
22,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","171080","A26 Green","A26 Green_171080",NA,"208","Y","N","13-Dec-17","7-Jul-19",NA,NA,32.75217819,35.01340485,30.60771751,35.07762146,"Israel","Israel",571,"Alive",NA,NA,"Age units are days"
23,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","17112","A46 Green","A46 Green_17112",NA,"691","Y","N","16-Apr-17","12-May-18",NA,NA,32.55895233,34.93920135,37.72716141,41.27584457,"Israel","Turkey",391,"Dead","Found","Electrocuted","Age units are days"
24,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","171082","A47 Green","A47 Green_171082",NA,"182","Y","N","13-Dec-17","25-Aug-18",NA,NA,32.7522583,35.01337051,11.93215466,41.73139191,"Israel","Ethiopia",255,NA,NA,NA,"Age units are days"
25,"Egyptian Vulture Reintroduction CERM Italy","Neophron percnopterus","119157","Agata","Agata_119157","F","<1","Y","","","",NA,NA,NA,NA,NA,NA,"Italy","Mediterranean sea",NA,"","","",""
26,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia","Neophron percnopterus","130662","Agri","Agri_130662",NA,"Adult (5+ years)","N","N","6/22/13 1:00","7/22/14 6:35",2013-06-23 00:00:00,NA,40.08083,43.667,39.834,43.012,"Turkey","Turkey",395.232662,NA,NA,NA,NA
27,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","171362","Akaga","Akaga_171362",NA,NA,NA,NA,"5/16/18 0:15","5/31/19 5:29",NA,NA,41.59421539,25.64131165,12.43244839,40.23460007,"Bulgaria","Ethiopia",380.2182986,"alive",NA,NA,NA
28,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","182254","Alimerah","Alimerah_182254",NA,NA,NA,NA,"1/25/19 7:55","5/31/19 1:33",NA,NA,11.67359829,40.97370148,11.78166294,41.03788376,"Ethiopia","Ethiopia",125.7344097,"alive",NA,NA,NA
29,"Egyptian Vulture wild-birds Israel","Neophron percnopterus","180318","Amud H08 Blue","Amud H08 Blue_180318",NA,"Adult","N","Y","20-Aug-18","7-Jul-19",NA,NA,32.88889694,35.49689102,32.93317795,35.56361389,"Israel","Israel",321,"Alive",NA,NA,"Found not flying, treated for a week at the Is Israel Wildlife Hospital and released. Migrated 2018 and returned to the same area in 2019, seen in a nest with two chicks."
30,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","182261","Andi","Andi_182261",NA,NA,NA,NA,"5/15/19 1:04","5/31/19 0:05",NA,NA,41.59440231,25.64131165,41.59880447,25.63895416,"Bulgaria","Bulgaria",15.95895833,"alive",NA,NA,NA
31,"Egyptian Vulture Reintroduction CERM Italy","Neophron percnopterus","HDUC14","Aneta","Aneta_HDUC14","F","<1","Y","","","",NA,NA,NA,NA,NA,NA,"Italy","Mediterranean sea",NA,"","","",""
32,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","171348","Anna","Anna_171348",NA,NA,NA,NA,"8/10/18 0:53","9/16/18 0:01",NA,NA,41.63582993,25.85588837,37.23348618,34.8425293,"Bulgaria","Turkey",36.96383102,NA,NA,NA,NA
33,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","118154","Aoos","Aoos_118154",NA,NA,NA,NA,"4/17/15 17:00","5/29/19 13:00",NA,NA,40.13267,20.54217,39.92,20.3865,"Albania","Greece",1502.833333,"alive",NA,NA,NA
34,"Egyptian Vulture Reintroduction CERM Italy","Neophron percnopterus","16093","Apollo","Apollo_16093","M","1","Y","","","",NA,NA,NA,NA,NA,NA,"Italy","Algeria",NA,"","","",""
35,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia","Neophron percnopterus","118176","Aras","Aras_118176",NA,"SA (2-3 years)","N","N","8/18/12 13:00","2/5/13 1:00",2012-08-17 04:00:00,NA,40.12183,43.5835,9.8985,40.27417,"Turkey","Ethiopia",170.5,NA,NA,NA,NA
36,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","118147","Arda","Arda_118147",NA,NA,NA,NA,"8/13/12 0:41","3/6/13 2:00",NA,NA,41.644,25.878,10.7955,28.50933,"Bulgaria","Sudan",205.0548611,NA,NA,NA,NA
37,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia","Neophron percnopterus","210","Ardahan","Ardahan_210",NA,"Adult (5+ years)","N","N","6/22/13 1:14","9/18/14 9:14",2013-06-24 02:00:00,NA,40.07148,43.66676,14.39814,43.5663,"Turkey","Yemen",453.3333681,NA,NA,NA,NA
38,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","182265","Ardi","Ardi_182265",NA,NA,NA,NA,"1/24/19 14:29","5/31/19 1:05",NA,NA,11.79798126,41.05654526,20.23853874,43.19846344,"Ethiopia","Saudi Arabia",126.4417477,"alive",NA,NA,NA
39,"Egyptian Vulture Reintroduction CERM Italy","Neophron percnopterus","53158","Arianna","Arianna_53158","F","<1","Y","","","",NA,NA,NA,NA,NA,NA,"Italy","Italy",NA,"","","",""
40,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia","Neophron percnopterus","4.85E+10","Armenia2","Armenia2_48500703868",NA,"3RD YEAR","N","N","7/22/15 5:01","10/19/15 0:01",2015-07-22 12:00:00,NA,39.491799,46.35705,7.678216,43.102183,"Armenia","Ethiopia",88.79166667,NA,NA,NA,NA
