study.name,species,tag,id,id.tag,sex,age.at.deployment,captive.raised,rehabilitated,start.date,end.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,how.fate.determined,cause.of.death,comments
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,131248,Ibrahim,Ibrahim_131248,unknown,juv,wild,no,02/08/2013 14:00,26/09/2013 01:15,41.618,25.6495,35.161,24.811,Bulgaria,Greece,54.46875,dead,transmission ended,unknown,Not clear if the bird really died or the transmitter failed. 
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,118145,Ikaros,Ikaros_118145,unknown,juv,wild,no,12/08/2012,09/09/2012,39.802314,21.678794,,,Greece,Mediterranean Sea,,dead,inferred from transmissions,drowned,track ends in sea
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,118153,Iliaz,Iliaz_118153,unknown,juv,wild,no,30/08/2012 06:00,31/05/2019 06:00,41.44,25.56833,41.188,25.15467,Bulgaria,Greece,2465,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,130675,Ilin,Ilin_130675,unknown,juv,wild,no,19/08/2013 07:47,28/10/2013 08:44,41.762,21.735,41.952,21.766,North Macedonia,North Macedonia,70.03958333,dead,found carcass,predation,"Found dead near the nest, killed by predator"
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,130674,Ilina,Ilina_130674,unknown,juv,wild,no,17/08/2013,28/09/2013,41.768439,21.722818,36.370124,27.463838,North Macedonia,Greece,,dead,found feathers,predation,Most probably killed by Bonneli's eagle
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,149507,Jenny,Jenny_149507,female,adult,wild,no,30/07/2015 10:00,29/05/2019 04:00,41.58367,25.65033,41.5865,25.447,Bulgaria,Bulgaria,1398.75,alive,NA,NA,NA
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,130671,Katerina,Katerina_130671,unknown,juv,wild,no,09/08/2013 13:49,18/09/2013 02:00,41.161,26.237,31.18817,30.06317,Greece,Mediterranean Sea,387.7159722,dead,inferred from transmissions,drowned,Bird drowned on the 18/9/2013 although carcass likely washed up on beach in Egypt on the 10/10/2013. Contacted locals to try to find it. Claimed they never did but a year later there were some fixes from Alexandria!!
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,108050,Lazaros,Lazaros_108050,female,adult,wild,yes,23/06/2012 22:00,01/04/2013 10:00,39.789,21.7325,40.82683,23.80817,Greece,Greece,281.5,dead,carcass retrieved,poisoning,Tagged after being found poisoned in Meteora; poisoned again one year later
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,118146,Levkipos,Levkipos_118146,unknown,juv,wild,no,07/08/2012 16:00,26/01/2015 12:00,41.089,26.13933,10.86591,26.57287,Greece,Sudan,1046.365961,dead,inferred from transmissions,unknown,The bird died on 26.01.2015. Since then transmitter was sending signal from the same location
Neophron percnopterus Bulgaria/Greece,Neophron percnopterus,118149,Lomets,Lomets_118149,male,juv,captive,no,26/08/2016,15/09/2016,43.648184,26.059656,31.529424,33.055494,Bulgaria,Mediterranean Sea,,dead,inferred from transmissions,drowned,Track ends in sea. Captive-bred from Vienna Zoo; originates from Turkish population
