species,study.name,population,id,tag,id.tag,start.date,end.date,mortality.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,age.at.deployment.months,sex,migrant,captive.raised,rehabilitated,how.fate.determined,cause.of.death,transmitter.make.model,transmitter.attachment.method,transmitter.mass.grams,transmitter.mass.grams.binned,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,start.country.quant,end.country.quant,n.locs,origin,deployment.duration.months,age.at.fate.months,age.at.fate.simple,population.binned,fate.binned,fate.at.annual.stage,comments
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Ilina,130674,Ilina_130674,8/5/13 9:00,9/24/13,9/25/13 0:00,41.769,21.72467,36.32067,30.084,The former Yugoslav Republic of Macedonia,Greece,56.875,confirmed dead,2,unknown,Y,N,N,carcass found,unknown,Microwave satellite,backpack,45,40-48g,1.275858453,0.995833333,The former Yugoslav Republic of Macedonia,Turkey,40,N,1,3,juvenile,central & eastern,dead,fall migration,Most probably killed by Bonneli's eagle
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Jenny,149507,Jenny_149507,7/30/15 10:00,10/18/20,10/19/20 0:00,41.58367,25.65033,17.81533,23.2705,Bulgaria,Chad,1918.708333,confirmed dead,54,F,Y,N,N,carcass found,poisoning,Microwave satellite,backpack,45,40-48g,2.240607393,1.004166667,Bulgaria,Chad,1882,N,62,116,adult,central & eastern,dead,breeding,poisoned and recovered in Chad
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Katerina,130671,Katerina_130671,8/24/13 8:00,9/17/13,9/18/13 0:00,41.14467,26.18267,36.283,26.75017,Greece,Mediterranean Sea,371.9583333,likely dead,2,unknown,Y,N,N,inferred from transmissions,drowned,Microwave satellite,backpack,45,40-48g,0.919754621,0.983333333,Greece,NA,19,N,0,2,juvenile,central & eastern,dead,breeding,Bird drowned on the 18/9/2013 although carcass likely washed up on beach in Egypt on the 10/10/2013. Contacted locals to try to find it. Claimed they never did but a year later there were some fixes from Alexandria!!
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Lazaros,108050,Lazaros_108050,6/23/12 22:00,3/31/13,3/31/13 10:00,39.789,21.7325,41.05583,24.14917,Greece,Greece,280.5,confirmed dead,54,F,Y,N,Y,carcass found,poisoning,Microwave satellite,backpack,45,40-48g,2.33985216,1.016666667,Greece,Greece,282,N,9,63,adult,central & eastern,dead,spring migration,Tagged after being found poisoned in Meteora; poisoned again one year later
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Levkipos,118146,Levkipos_118146,8/7/12 16:00,1/25/15,1/26/15 0:00,41.089,26.13933,10.42533,26.63217,Greece,Sudan,1044.416667,likely transmitter failure,2,unknown,Y,N,N,inferred from transmissions,NA,Microwave satellite,backpack,45,40-48g,0.126402017,1,Greece,Sudan,891,N,29,31,adult,central & eastern,tx failure,non-breeding,The bird died on 26.01.2015. Since then transmitter was sending signal from the same location
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Lomets,118149,Lomets_118149,8/26/16 12:00,9/14/16,9/14/16 2:00,43.648,26.05967,34.9825,32.51567,Bulgaria,Mediterranean Sea,18.58333333,likely dead,2,M,Y,Y,N,terminated over water,drowned,Microwave satellite,backpack,45,40-48g,1.54377053,1,Bulgaria,Cyprus,20,Y,0,2,juvenile,central & eastern,dead,fall migration,Track ends in sea. Captive-bred from Vienna Zoo; originates from Turkish population
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Macedonia,61952,Macedonia_61952,8/10/11 5:00,9/16/11,9/17/11 0:00,41.18317,21.717,40.5305,23.20483,The former Yugoslav Republic of Macedonia,NA,39,likely dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,40-48g,0.771181247,1.004166667,The former Yugoslav Republic of Macedonia,Greece,34,N,1,3,juvenile,central & eastern,dead,fall migration,track ends in sea
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Maria,149504,Maria_149504,8/14/16 2:00,10/7/16,10/8/16 0:00,41.61867,25.65083,31.117,36.889,Bulgaria,Saudi Arabia,65,likely dead,2,unknown,Y,N,N,inferred from transmissions,unknown,Microwave satellite,backpack,45,40-48g,1.893074419,1,Bulgaria,Jordan,42,N,1,3,juvenile,central & eastern,dead,fall migration,The bird died on 10.10.2016. Since then transmitter was sending signal from the same location
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Odiseas,118149,Odiseas_118149,9/11/12 14:00,9/16/12,9/16/12 10:00,41.10467,26.24133,41.09317,26.24183,Greece,Greece,4.833333333,confirmed dead,3,unknown,Y,N,Y,carcass found,exhaustion,Microwave satellite,backpack,45,40-48g,0.002699974,0.972222222,Greece,Greece,6,N,0,3,juvenile,central & eastern,dead,breeding,Found dead near Dadia; This individual was rescued before tagging; Probable reason of death - bad physical condition
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Paschalis,130670,Paschalis_130670,8/14/13 16:00,2/14/14,2/15/14 0:00,41.14533,26.18267,14.44867,10.169,Greece,Niger,199.4583333,confirmed dead,2,unknown,Y,N,N,transmitter recovered,hunting,Microwave satellite,backpack,45,40-48g,0.201386142,1,Greece,Niger,175,N,6,8,juvenile,central & eastern,dead,non-breeding,Killed by Nigerian hunter on 27.2.2014; exported to be sold in Nigeria
