Population,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
Balkans/Italy,adult,wild,0.897030024328588,0.834606412916927,0.93525811969974
Balkans/Italy,juvenile,captive,0.342679963644294,0.0921312010760107,0.655851062406904
Balkans/Italy,juvenile,wild,0.540767143367361,0.225454190644346,0.775494388732109
Caucasus/Middle East,adult,wild,0.897030024328588,0.834606412916927,0.93525811969974
Caucasus/Middle East,juvenile,captive,0.380587500907386,0.189285721220761,0.552220452510822
Caucasus/Middle East,juvenile,wild,0.567417103321119,0.409980136966838,0.702685037293296
western Europe,adult,wild,0.940625104511405,0.899904922685641,0.970174891891462
western Europe,juvenile,wild,0.74997312425974,0.596862602141422,0.859103899538411
