pop,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
Caucasus/Middle East,adult,wild,0.944984167402454,0.906872155286301,0.968809688157246
Caucasus/Middle East,juvenile,captive,0.391391978311016,0.232627004734497,0.560097709613057
Caucasus/Middle East,juvenile,wild,0.602442236376814,0.446777173858369,0.734443609635198
Italy/Balkans,adult,wild,0.936181232945596,0.890566970162111,0.964428720051631
Italy/Balkans,juvenile,captive,0.339851017992502,0.19535306319116,0.50667199387237
Italy/Balkans,juvenile,wild,0.556571584638352,0.400134180897883,0.695269235148347
western europe,adult,wild,0.953082958190702,0.922126522827208,0.972663596924345
western europe,juvenile,captive,0.432952766614048,0.272024963512298,0.593111602864964
western europe,juvenile,wild,0.633022473715345,0.501220975409822,0.754981389616501
