pop,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
Caucasus/Middle East,adult,wild,0.983247969678783,0.955586314330522,0.994099022076801
Caucasus/Middle East,juvenile,captive,0.363730729696278,0.156996244591161,0.590432376383622
Caucasus/Middle East,juvenile,wild,0.439877998933536,0.193040235402493,0.677933424653925
Italy/Balkans,adult,wild,0.969343733447317,0.922969439694874,0.990045795227056
Italy/Balkans,juvenile,captive,0.180640658103189,0.0618258123028409,0.373401959006191
Italy/Balkans,juvenile,wild,0.246841565456049,0.122998776507279,0.415454364290445
western europe,adult,wild,0.997388174004912,0.991234487544494,0.999608134081481
western europe,juvenile,captive,0.851985386490349,0.581769099585636,0.966539985171955
western europe,juvenile,wild,0.88004407385368,0.690194097882781,0.97094552398373
