"study.name","species","tag","id","id.tag","sex","age.at.deployment","captive.raised","rehabilitated","start.date","end.date","start.lat","start.long","end.lat","end.long","start.country","end.country","deployment.duration","n.locs","fate","how.fate.determined","cause.of.death","death.or.failure.date","comments"
"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Neophron percnopterus",10007,"Serhat","Serhat_10007",NA,NA,NA,NA,2014-06-17 15:59:00,2014-10-31 01:24:00,40.19459,43.63137,10.52807,40.45,"Turkey","Ethiopia",135.392361111111,125,"NA","NA",NA,NA,NA
"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Neophron percnopterus",209,"Tuzluca","Tuzluca_209",NA,NA,NA,NA,2013-06-22 01:14:53,2016-10-06 00:08:52,40.081,43.66704,18.41782,41.78732,"Turkey","Saudi Arabia",1201.95415509259,1192,"NA","NA",NA,NA,NA
"Egyptian vulture in France (grands Causses-Baronnies)","Neophron percnopterus",181635,"Baronnies_2019_Imm_wild_OR181635_5T","Baronnies_2019_Imm_wild_OR181635_5T_181635",NA,NA,NA,NA,2019-04-01 17:25:34,2019-05-31 03:36:13,44.434383392334,5.32294511795044,43.8816757202148,5.80304336547852,"France","France",59.4240625,61,"alive","still transmitting",NA,NA,NA
"Egyptian vulture in France (grands Causses-Baronnies)","Neophron percnopterus",171075,"Causses_2018_Imm_wild_OR171075_4X","Causses_2018_Imm_wild_OR171075_4X_171075",NA,NA,NA,NA,2018-04-05 12:00:05,2019-05-31 03:34:00,44.2037544250488,3.25566506385803,36.4459037780762,-5.96907997131348,"France","Spain",420.648553240741,422,"alive","still transmitting",NA,NA,NA
"Egyptian vulture Kobierzycki Gardon ","Neophron percnopterus",707,"Gardon_2016_Ad_wild_MW707 ","Gardon_2016_Ad_wild_MW707 _707",NA,NA,NA,NA,2016-03-29 06:46:53,2019-05-31 00:54:23,44.2314,4.41436,44.37492,4.43744,"France","France",1157.75520833333,925,"alive","still transmitting",NA,NA,NA
"Egyptian vulture Kobierzycki Pyrenees","Neophron percnopterus",17996,"Ossau_2018_Ad_wild_OR17996_PC0","Ossau_2018_Ad_wild_OR17996_PC0_17996",NA,NA,NA,NA,2018-04-21 03:44:05,2019-05-31 04:33:53,43.0697326660156,-0.415683329105377,43.0693626403809,-0.425459980964661,"France","France",405.034583333333,308,"alive","still transmitting",NA,NA,NA
"Egyptian vulture Kobierzycki Pyrenees","Neophron percnopterus",48601087785,"Pyrenees_2015_Imm_wild_EC48601087785","Pyrenees_2015_Imm_wild_EC48601087785_48601087785",NA,NA,NA,NA,2015-06-29 00:00:00,2016-10-29 00:00:00,43.408666,-1.508783,15.841316,-16.113983,"France","Senegal",488,405,"NA","NA",NA,NA,NA
"Egyptian vulture Kobierzycki Vaucluse","Neophron percnopterus",5018,"Provence_2016_Ad_wild_EO5018_Salomé_8P","Provence_2016_Ad_wild_EO5018_Salomé_8P_5018",NA,NA,NA,NA,2016-10-01 05:00:48,2019-05-29 06:02:34,43.9509471,5.122738,43.6599439,5.0051528,"France","France",970.042893518519,503,"alive","still transmitting",NA,NA,"errant last point? has a straight shot from Africa back to France"
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",3515,"00 White 2013","00 White 2013_3515",NA,NA,NA,NA,2014-04-04 05:00:23,2019-05-31 05:01:11,32.752136,35.0134302,34.3754469,38.1383517,"Israel","Syrian Arab Republic",1883.00055555556,1757,"alive","still transmitting",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",3516,"18 White","18 White_3516",NA,NA,NA,NA,2014-04-22 04:00:23,2014-04-28 04:00:23,32.7534508,35.0138107,32.3123878,35.1483145,"Israel","Israel",6,7,"NA","NA",NA,NA,"very few fixes"
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",3517,"19 White","19 White_3517",NA,NA,NA,NA,2014-04-22 04:00:23,2014-08-28 04:00:23,32.7534673,35.0137975,18.1509497,42.0875706,"Israel","Saudi Arabia",128,127,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",3514,"A02 Green 2013","A02 Green 2013_3514",NA,NA,NA,NA,2014-04-04 05:00:23,2017-04-25 05:00:23,32.7520933,35.0134463,32.7514688,35.0136806,"Israel","Israel",1117,1109,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",17113,"A17 Green","A17 Green_17113",NA,NA,NA,NA,2017-04-16 00:05:08,2017-07-05 00:05:52,32.5593185424805,34.9385528564453,32.4719161987305,34.9839401245117,"Israel","Israel",80.0005092592593,81,"NA","NA",NA,NA,"errant last point?"
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",171087,"A25 Green","A25 Green_171087",NA,NA,NA,NA,2017-12-13 00:05:39,2018-04-23 02:34:12,32.7523002624512,35.0133895874023,32.6949234008789,35.7062454223633,"Israel","Syrian Arab Republic",131.103159722222,132,"NA","NA",NA,NA,"errant last point?"
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",171080,"A26 Green","A26 Green_171080",NA,NA,NA,NA,2017-12-13 04:06:06,2019-05-31 02:10:05,32.7521781921387,35.0134048461914,30.6077175140381,35.0776214599609,"Israel","Israel",533.91943287037,357,"alive","still transmitting",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",17112,"A46 Green","A46 Green_17112",NA,NA,NA,NA,2017-04-16 00:05:15,2018-05-12 01:40:08,32.558952331543,34.9392013549805,37.7271614074707,41.2758445739746,"Israel","Turkey",391.065891203704,392,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",171082,"A47 Green","A47 Green_171082",NA,NA,NA,NA,2017-12-13 04:05:37,2018-08-25 02:40:48,32.7522583007812,35.013370513916,11.9321546554565,41.7313919067383,"Israel","Ethiopia",254.941099537037,256,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",17111,"C39 Blue","C39 Blue_17111",NA,NA,NA,NA,2017-04-16 00:05:05,2018-07-24 02:21:28,32.5589027404785,34.9394340515137,32.5586547851562,34.9393997192383,"Israel","Israel",464.094710648148,465,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",17113,"EV10","EV10_17113",NA,NA,NA,NA,2017-07-15 00:05:45,2017-08-23 00:08:17,32.4717864990234,34.9839248657227,18.093189239502,31.2134971618652,"Israel","Sudan",39.0017592592593,39,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",180323,"H42 Blue","H42 Blue_180323",NA,NA,NA,NA,2018-12-13 15:05:42,2019-01-14 03:55:04,32.7504615783691,35.0175018310547,30.1605987548828,38.8301620483398,"Israel","Saudi Arabia",31.5342824074074,33,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",171086,"H42 Green","H42 Green_171086",NA,NA,NA,NA,2017-12-13 04:06:06,2019-05-31 02:14:51,32.7521629333496,35.0134239196777,30.5069255828857,34.202751159668,"Israel","Egypt",533.922743055556,428,"alive","still transmitting",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",171084,"H50 Green","H50 Green_171084",NA,NA,NA,NA,2017-12-13 04:06:06,2018-08-09 02:44:13,32.7521705627441,35.0134429931641,28.132869720459,34.204158782959,"Israel","Egypt",238.943136574074,240,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",180324,"H54 Green","H54 Green_180324",NA,NA,NA,NA,2018-12-22 04:09:31,2019-05-21 02:09:01,32.752082824707,35.0137596130371,36.3173980712891,40.2204170227051,"Israel","Syrian Arab Republic",149.916319444444,148,"alive","still transmitting",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",180325,"H57 Green","H57 Green_180325",NA,NA,NA,NA,2018-12-23 04:10:33,2019-04-05 05:37:53,32.7520942687988,35.0134773254395,38.4248046875,37.1483573913574,"Israel","Turkey",103.060648148148,99,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",16124,"H60 Blue","H60 Blue_16124",NA,NA,NA,NA,2017-12-13 05:22:00,2019-05-31 01:52:24,32.7521781921387,35.0134162902832,33.0797233581543,35.6780815124512,"Israel","Syrian Arab Republic",533.854444444444,361,"alive","still transmitting",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",180326,"H70 Green","H70 Green_180326",NA,NA,NA,NA,2018-12-22 04:10:54,2019-05-31 01:29:04,32.7521095275879,35.0135231018066,39.9306869506836,40.6540908813477,"Israel","Turkey",159.887615740741,157,"alive","still transmitting",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",180327,"H73 Blue","H73 Blue_180327",NA,NA,NA,NA,2018-12-24 04:10:34,2019-03-30 03:02:16,32.7522201538086,35.0135307312012,37.0267181396484,35.5578918457031,"Israel","Turkey",95.9525694444444,97,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",171081,"H81 Green","H81 Green_171081",NA,NA,NA,NA,2017-10-25 09:12:59,2019-05-31 01:48:06,32.7534790039062,35.0140037536621,36.9463233947754,35.895206451416,"Israel","Turkey",582.691053240741,512,"alive","still transmitting",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",180320,"H92 Green","H92 Green_180320",NA,NA,NA,NA,2018-12-23 04:10:03,2019-03-19 03:21:51,32.7522315979004,35.013484954834,32.752140045166,35.0133628845215,"Israel","Israel",85.9665277777778,74,"NA","NA",NA,NA,NA
"Egyptian Vulture Reintroduction Israel","Neophron percnopterus",171085,"H94 Blue","H94 Blue_171085",NA,NA,NA,NA,2017-12-13 04:06:05,2019-05-18 02:26:12,32.752124786377,35.0134391784668,36.4323081970215,33.8768844604492,"Israel","Turkey",520.930636574074,521,"alive","still transmitting",NA,NA,NA
