"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter","model"
0.984146851613212,0.00939067984043912,0.961256937845289,0.978816043297356,0.986023743657304,0.991572103548772,0.996554112920321,1.01998078359826,130,0,1,"mean.phi[1]","m31"
0.632977105918192,0.102162979030466,0.503113182489718,0.54650571198754,0.609336505619525,0.707557618356842,0.856846014912967,1.07762722250384,40,0,1,"mean.phi[2]","m31"
4.31886606913766,0.661900317600819,3.21129013972403,3.83309975288085,4.2563209107638,4.76774629369528,5.66712334500052,1.02761510066157,103,0,1,"lp.mean[1]","m31"
0.582226842560992,0.491297893992569,0.0124528912158896,0.186562089343905,0.444524196770083,0.883551454501461,1.78934051124351,1.08205881151794,40,0,1,"lp.mean[2]","m31"
0.062789034555778,0.00549123063850874,0.0524237819634151,0.0589957967441318,0.0628112776205446,0.0662688924253273,0.0743427855887259,1.00574934751343,413,0,1,"p.seen.alive","m31"
0.410912665009567,0.0112392202871604,0.389634599305315,0.403037282034492,0.410970791199216,0.418270737062887,0.433259116418144,0.998051299174645,800,0,1,"p.found.dead","m31"
0.102117470563783,0.0178808644621107,0.0690388556344601,0.0890404387502786,0.101941397308553,0.11402231268836,0.139788830507411,1.004887938172,388,0,1,"b.phi.age","m31"
3.61749924245248,0.797436159394426,2.06561569549189,3.06819894753429,3.5787697780148,4.12673597293819,5.38117100807137,1.08027640835101,40,0,1,"b.phi.mig[1]","m31"
3.26853468817787,0.832433771638336,1.64634954186835,2.6835567551562,3.22068365481104,3.8162830583294,5.00187148671181,1.06822959485315,47,0,1,"b.phi.mig[2]","m31"
-0.719532566161551,0.301951231893923,-1.3187893034768,-0.916568216441202,-0.707062417843502,-0.517450053602447,-0.155995904763961,1.00424141287496,469,0,0.9925,"b.phi.capt","m31"
-0.0432901373093379,0.0146757666235212,-0.07403178411841,-0.0524706145082821,-0.0431226351990631,-0.033311724640986,-0.014242985146497,1.0171786256939,176,0,0.995,"b.phi.lat","m31"
-0.0235484199592796,0.00875196541041671,-0.0417228989524168,-0.0285096919568822,-0.0233266181066164,-0.01769638005982,-0.00627407006669171,1.00713702084825,342,0,0.99625,"b.phi.long","m31"
3904.18987083697,8.93925083376124,3889.39509164771,3898.03910598887,3903.35711909838,3909.55100091962,3923.91150153213,0.9994935848521,800,0,1,"deviance","m31"
