"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter","model"
0.996673119931798,0.00141633953848793,0.993448649470275,0.995835115160279,0.996888217904601,0.997706517053341,0.998820126123156,0.999746824460279,800,0,1,"mean.phi[1]","m6"
0.860828041177286,0.0315642837711988,0.786751191266521,0.84141664741586,0.86226926994946,0.883034857665834,0.914964730349866,1.00020646122284,800,0,1,"mean.phi[2]","m6"
5.79446744046073,0.442736362132238,5.02151159146679,5.4768930839695,5.76944351655431,6.07539484602879,6.74116718612814,0.99958986066273,800,0,1,"lp.mean[1]","m6"
1.84731136693117,0.265702087065038,1.30545260819991,1.66880671993933,1.83426708046833,2.02148871507744,2.37582007964653,0.999846720292158,800,0,1,"lp.mean[2]","m6"
0.0628066826182077,0.00568326780411234,0.0518099690998025,0.0587106482943231,0.0628211064132907,0.0664946637083108,0.0741142405794687,1.00549386258861,414,0,1,"p.seen.alive","m6"
0.411497603281034,0.0118635094155666,0.388317242213372,0.403608775310399,0.411301505144183,0.419208122480058,0.434688612871053,0.999392872970639,800,0,1,"p.found.dead","m6"
0.0944044513638368,0.0157693393645613,0.0650142866692274,0.0841224367969252,0.0937181989779146,0.104078160943026,0.127220116728828,0.998194728956136,800,0,1,"b.phi.age","m6"
0.993697270782759,0.50620098852625,0.0749193601158188,0.646512334597053,0.983322117563564,1.30915739377061,2.04559861847202,1.00151534869692,728,0,0.98125,"b.phi.mig","m6"
-0.538744407608112,0.155199906934124,-0.832776598470421,-0.64612872407488,-0.539812958530628,-0.434227114268696,-0.237601214051971,1.0040246350469,428,0,1,"b.phi.lat","m6"
-0.413238272449655,0.15044692109991,-0.710552034829834,-0.514319372195742,-0.408767172177303,-0.304515915182269,-0.122852121253832,1.00194727894017,798,0,0.995,"b.phi.long","m6"
3903.85476695516,9.04735644620397,3888.3796539826,3897.25965084275,3903.10163169464,3909.32886999212,3923.6971778542,1.00257022795579,800,0,1,"deviance","m6"
