mean,sd,2.5%,25%,50%,75%,97.5%,Rhat,n.eff,overlap0,f,parameter,model
0.0792194086871099,0.00594117609123775,0.0681520999110453,0.0750220626924248,0.0790921133035462,0.083401752682501,0.0905332896277369,1.00257966479292,511,0,1,p.seen.alive,cont_age
29.1350622759734,19.0513669027148,5.71152691221807,14.7099242755853,24.9046146640013,39.8419644808691,75.5074164125766,1.00377599185264,750,0,1,base.obs,cont_age
-3.90994525365252,0.239764573152573,-4.40428789095875,-4.06715950187431,-3.91285614471073,-3.73505491255255,-3.48177355571741,1.02599702982394,88,0,1,base.fail,cont_age
0.368438200976214,0.0916912456997185,0.194393894253452,0.305513152408596,0.364839602816749,0.431229750974396,0.557743641884306,1.03165077334667,66,0,1,base.recover,cont_age
-0.234392885183627,0.101951126926217,-0.45271021546381,-0.298838570852901,-0.224519881510629,-0.166919903335661,-0.0554369560884485,1.00652503489258,241,0,0.996,beta2,cont_age
0.501941238689389,0.174504923233764,0.15975089327802,0.38200375101967,0.503847680230714,0.623912517192428,0.829702380022587,1.00540632921438,288,0,1,beta3,cont_age
-0.0210906702745331,0.00288985680851534,-0.0268812529123289,-0.0228994117438615,-0.0211107778210417,-0.0190637578284428,-0.0157294771181986,1.0372122703137,58,0,1,beta4,cont_age
0.92270905863261,0.0140748629027615,0.90134439994289,0.911498688465661,0.921013354543294,0.932212452026675,0.951163151331351,1.00091341269818,750,0,1,mean.phi,cont_age
2.49818598695911,0.214324528303949,2.21225243199735,2.33207279128294,2.45619575102222,2.62118222363689,2.96920293705802,1.00137782207517,750,0,1,lp.mean,cont_age
-0.636559568376541,0.234976291555594,-1.06542814010036,-0.797881619958975,-0.649200133096619,-0.489880265963883,-0.131336412703303,1.00174866211059,693,0,0.994666666666667,b.phi.mig,cont_age
-0.107816358365267,0.237641159487461,-0.612137572954348,-0.257278202851042,-0.0963018464757254,0.0504684320064543,0.323179736200396,1.01141450780179,204,1,0.662666666666667,b.phi.capt,cont_age
0.69385252007529,0.301353530641465,0.104799528915568,0.489645871846643,0.68826896598284,0.895672860867014,1.32472183338918,1.00053435193597,750,0,1,b.phi.pop,cont_age
0.0341560579569609,0.00475346033292738,0.0250961009589626,0.0308761039407681,0.034031151295765,0.037334688655007,0.0437360819648801,1.00032589655841,750,0,1,b.phi.age,cont_age
1.12594791176312,0.255916181717777,0.625429472256105,0.946889134699031,1.12263940345042,1.29922410508767,1.62709184345995,1.00108142045457,750,0,1,b.phi.lat1,cont_age
6299.63211974951,2.94119321830158,6295.24731417652,6297.57445115743,6299.27579078118,6301.12388435196,6306.16223838566,1.00432255077311,750,0,1,deviance,cont_age
