Population,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
Balkans/Italy,adult,wild,0.909815441596464,0.84707348470538,0.951234636159117
Balkans/Italy,juvenile,captive,0.150313910462112,0.0284466155138029,0.391942382674241
Balkans/Italy,juvenile,wild,0.238584190781138,0.0684412060272051,0.507219314203425
Caucasus/Middle East,adult,wild,0.909815441596464,0.84707348470538,0.951234636159117
Caucasus/Middle East,juvenile,captive,0.347909119016889,0.155458906933421,0.527622897308402
Caucasus/Middle East,juvenile,wild,0.450719460305095,0.262708509308496,0.632783734445675
western Europe,adult,wild,0.9884958174343,0.969953820008263,0.995749557865222
western Europe,juvenile,wild,0.905443283763788,0.779190519549218,0.961952388644055
