Population,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
Balkans/Italy,adult,wild,0.977144129032171,0.946276321041214,0.992150158672883
Balkans/Italy,juvenile,captive,0.129052376682671,0.0295077620342277,0.356112368043286
Balkans/Italy,juvenile,wild,0.143779123169982,0.0306870752475763,0.356965103183303
Caucasus/Middle East,adult,wild,0.977144129032171,0.946276321041214,0.992150158672883
Caucasus/Middle East,juvenile,captive,0.304883188113342,0.16571423472977,0.477119756458539
Caucasus/Middle East,juvenile,wild,0.310240778381849,0.187170417247142,0.479905866875627
western Europe,adult,wild,0.997331311789198,0.991014523954746,0.999262894094232
western Europe,juvenile,wild,0.86328399934027,0.70304976602103,0.941058862502906
