Population,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
central and east,adult,captive,0.882952492995983,0.81205271297988,0.932756912938722
central and east,adult,wild,0.894146139344972,0.836518380387537,0.940828413582949
central and east,juvenile,captive,0.395048437578151,0.241567448937408,0.549220496597645
central and east,juvenile,wild,0.421243766948019,0.336805607237578,0.585167163674741
western Europe,adult,wild,0.944840313317245,0.907528634261728,0.973282437840971
western Europe,juvenile,wild,0.655017372341259,0.484149506789381,0.794842187158713
