Population,Origin,Season,age,surv,lcl,ucl
western Europe,wild,south of 25°N,19,0.99188794693866,0.982511021895408,0.996566840099739
western Europe,captive,south of 25°N,19,0.989397566984752,0.973754029461029,0.996012406772021
central and east,wild,migration,19,0.933909632829816,0.893065472984339,0.960996183408325
central and east,captive,migration,19,0.91526138613087,0.856596379524794,0.950703450800692
western Europe,wild,migration,19,0.965185106738502,0.933039695531729,0.982901398045391
western Europe,captive,migration,19,0.954920298492848,0.899090288042889,0.980943512035625
central and east,wild,north of 25°N,22,0.972242645473947,0.957042285521045,0.982203080153532
central and east,captive,north of 25°N,22,0.964020403977245,0.941903722462441,0.976575700780742
western Europe,wild,north of 25°N,22,0.985623055745019,0.974306503570455,0.992357128402773
western Europe,captive,north of 25°N,22,0.981139855459897,0.960437455124714,0.991436351447581
central and east,wild,south of 25°N,22,0.9855704235473,0.972710897966712,0.992879598182857
central and east,captive,south of 25°N,22,0.981075934942172,0.963620388142743,0.990624164396614
western Europe,wild,south of 25°N,22,0.992593569661787,0.984141381795046,0.996847940725211
western Europe,captive,south of 25°N,22,0.990309343665877,0.976204572407941,0.996342690965344
central and east,wild,migration,22,0.939311228639232,0.901103970629418,0.964367772293945
central and east,captive,migration,22,0.922001108516709,0.867052315276904,0.954876153313576
western Europe,wild,migration,22,0.968113794342304,0.938501843773269,0.984375519152617
western Europe,captive,migration,22,0.958634770432803,0.907262174757666,0.982505309145695
central and east,wild,north of 25°N,25,0.974589320409734,0.960599817202818,0.983782374477419
central and east,captive,north of 25°N,25,0.967030282311618,0.94645386636393,0.978639098031414
western Europe,wild,north of 25°N,25,0.986870298917612,0.976521669383784,0.993008114720469
western Europe,captive,north of 25°N,25,0.982784579608596,0.963790649787491,0.992204348023701
central and east,wild,south of 25°N,25,0.986796302394103,0.975197921333166,0.993438971154689
central and east,captive,south of 25°N,25,0.982688760730313,0.966902911478079,0.991402565254982
western Europe,wild,south of 25°N,25,0.993238646757323,0.98563172462249,0.997094883213203
western Europe,captive,south of 25°N,25,0.991152250131677,0.978269004921395,0.996651039616869
central and east,wild,migration,25,0.944273997919313,0.90858324915669,0.967505636900659
central and east,captive,migration,25,0.928422160589074,0.876729471694844,0.958685588662501
western Europe,wild,migration,25,0.970836840380533,0.943477536380706,0.985792822758152
western Europe,captive,migration,25,0.962117066736699,0.914711076134799,0.983987573603603
central and east,wild,north of 25°N,28,0.976788531961948,0.963753395205731,0.985239812920592
central and east,captive,north of 25°N,28,0.969847737001617,0.950642578716018,0.980685012250293
western Europe,wild,north of 25°N,28,0.9879950720288,0.978465021709344,0.993653280899484
western Europe,captive,north of 25°N,28,0.984259651987536,0.966630881740723,0.992903097012853
central and east,wild,south of 25°N,28,0.987941521624487,0.977486391603218,0.993978266245997
central and east,captive,south of 25°N,28,0.984191742891908,0.969802691299201,0.992066095479863
western Europe,wild,south of 25°N,28,0.993822058622197,0.986994112591098,0.997336593122381
western Europe,captive,south of 25°N,28,0.991901714583858,0.980304368441789,0.996928970888737
central and east,wild,migration,28,0.948882070996906,0.915373998621649,0.9703294836317
central and east,captive,migration,28,0.934196246878564,0.885651884988047,0.962358054866743
western Europe,wild,migration,28,0.97338037906778,0.947935910698772,0.987075640844981
western Europe,captive,migration,28,0.965342595806749,0.920701499958977,0.985394048450693
central and east,wild,north of 25°N,31,0.978799512018329,0.966580223988498,0.986634021718889
central and east,captive,north of 25°N,31,0.972373798029779,0.954367573562379,0.982488708047429
western Europe,wild,north of 25°N,31,0.989026090399653,0.980229099237357,0.994220511476601
western Europe,captive,north of 25°N,31,0.985598618541399,0.969342298713078,0.993531198318843
central and east,wild,south of 25°N,31,0.988975292583536,0.979527468696986,0.99443605237025
central and east,captive,south of 25°N,31,0.985553915072125,0.972339481331668,0.992726289987264
western Europe,wild,south of 25°N,31,0.994358035647465,0.988150792323365,0.997560033601775
western Europe,captive,south of 25°N,31,0.99259956648135,0.982039804596147,0.997181757172513
central and east,wild,migration,31,0.953118269329731,0.921677837088137,0.973134580600651
central and east,captive,migration,31,0.939661563474864,0.893850968159836,0.965903343418043
western Europe,wild,migration,31,0.97563694238797,0.9520878992234,0.988232516108565
western Europe,captive,migration,31,0.968234382862373,0.926609992773734,0.98676047756983
central and east,wild,north of 25°N,34,0.980604166862641,0.969202955838139,0.987934394203641
central and east,captive,north of 25°N,34,0.974724567076386,0.957856956473929,0.984144642346402
western Europe,wild,north of 25°N,34,0.989973267372385,0.981801562300726,0.994755358077446
western Europe,captive,north of 25°N,34,0.986852841220781,0.971690468078085,0.994137461564365
central and east,wild,south of 25°N,34,0.989929735053627,0.98138970595101,0.994905301427215
central and east,captive,south of 25°N,34,0.986807534644306,0.974848185586483,0.993324974442562
western Europe,wild,south of 25°N,34,0.994848015812207,0.989253653574529,0.99776004062387
western Europe,captive,south of 25°N,34,0.993240474822351,0.98366504576907,0.997423310477468
central and east,wild,migration,34,0.957013853245092,0.927530846545905,0.975627848616845
central and east,captive,migration,34,0.944590191746195,0.901634445648278,0.969042158114056
western Europe,wild,migration,34,0.977720231030867,0.955906903608622,0.989313517007874
western Europe,captive,migration,34,0.970895292907328,0.932089267238068,0.987975517899333
central and east,wild,north of 25°N,37,0.982255124917506,0.971574146744134,0.989095024355353
central and east,captive,north of 25°N,37,0.976893967583248,0.960940151764109,0.985706962709063
