species,study.name,population,migrant,id,start.date,end.date,tag,id.tag,fate,fate.final,end.country,end.lat,end.long,how.fate.determined.clean,cause.of.death,mortality.date,start.country,sex,age.at.deployment,age.at.deployment.clean,age.at.deployment.month,captive.raised,rehabilitated,n.locs,start.lat,start.long,deployment.duration,data.owner.proofed,mean.GPS.dist.last10fixes.degrees,mean.GPS.dist.last10fixes.meters,mean.GPS.fixrate.last10fixes.days,mean.battery.charge.percent.last10fixes,how.fate.determined,comments
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Y,Armenia3,7/24/15 0:02,11/7/15 0:02,48500704009,Armenia3_48500704009,unknown,unknown,Ethiopia,6.093983,44.76245,unknown,NA,11/7/15 0:02,Armenia,unknown,ad,adult,54,N,N,91,39.5061,46.345799,106,y,0.268751,29865.7479,1.2,NA,unknown,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Y,Arpacay,8/20/12 17:00,9/26/12 1:00,118174,Arpacay_118174,confirmed dead,confirmed dead,Iraq,31.40283,45.07967,resighted / recaptured,"emaciation on migration, although potentially poisoned or collision. Not entirely sure",9/26/12 0:00,Turkey,unknown,3rd yr,immature,26,N,N,30,40.123,43.60117,36.33333333,y,0.847637,94196.24576,1.125,NA,"bird died in captivity of falconer in Iraq, transmitter recovered",NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Y,Cabuk,7/1/14 3:00,12/8/15 2:00,132087,Cabuk_132087,likely transmitter failure,likely dead,Ethiopia,11.0695,40.364,inferred from transmissions,NA,12/8/15 2:00,Turkey,unknown,2nd yr,immature,13,N,N,511,40.0833,43.6676,524.9583218,y,0.230215,25583.28796,6.71734375,NA,"long gap in trasnmission, during which time bird moved",NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Y,Haydi,6/9/14 2:46,4/27/16 8:00,132084,Haydi_132084,likely dead,likely dead,Kenya,1.6534,37.8024,inferred from transmissions,NA,1/1/16 0:00,Turkey,unknown,3rd yr,immature,24,N,N,671,40.0813,43.6665,688.2179051,y,0.00019,21.148992,15.87281481,NA,static transmissions in Kenya,"tried to get Kenyan colleagues to track down tag, but were unable"
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Y,Igdir,8/22/12 5:00,3/1/15 1:00,118175,Igdir_118175,confirmed dead,confirmed dead,Ethiopia,4.2755,42.06417,transmitter recovered,poisoning,2/20/15 0:00,Turkey,unknown,ad,adult,54,N,N,874,40.12167,43.5835,920.8333333,y,0.157333,17484.12252,1,NA,bird / tag recovery,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Y,Iste,6/10/14 2:36,5/30/19 4:00,132086,Iste_132086,alive,alive,Turkey,39.8344,42.5493,active,NA,5/30/19 4:00,Turkey,unknown,ad,adult,54,N,N,1747,40.0831,43.6674,1815.05838,y,0.017269,1919.067432,1.298402778,NA,still transmitting,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Y,Logiya,12/1/13 5:00,5/30/19 16:00,118174,Logiya_118174,alive,alive,Iran (Islamic Republic of),39.08683,46.96567,active,NA,5/30/19 16:00,Ethiopia,unknown,3rd yr,immature,30,N,N,1825,11.71533,40.974,2006.458333,y,0.01245,1383.590385,0.9875,NA,still transmitting,"tagged in Horn of Africa. Population determination based on where they migrated to. For birds that did not migrate, left as HoA"
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Y,Orada,7/21/15 12:08,2/10/17 0:00,48500703778,Orada_48500703778,unknown,unknown,Ethiopia,9.370999,40.442116,unknown,NA,2/10/17 0:00,Armenia,unknown,2nd yr,immature,13,N,N,571,39.511333,46.398683,569.4944444,y,0.086909,9658.042355,1.000069444,NA,unknown,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Y,Serhat,6/17/14 15:59,10/30/14 1:12,10007,Serhat_10007,unknown,unknown,Ethiopia,10.5359,40.455,unknown,NA,10/30/14 1:12,Turkey,unknown,5th yr,adult,54,N,N,124,40.19459,43.63137,134.3840278,y,0.233944,25997.73283,0.919791667,NA,unknown,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Y,Tuzluca,6/22/13 1:14,10/5/16 0:29,209,Tuzluca_209,unknown,unknown,Saudi Arabia,19.86006,41.10614,unknown,NA,10/5/16 0:29,Turkey,unknown,ad,adult,54,N,N,1193,40.081,43.66704,1200.968542,y,1.786326,198510.8382,0.999340278,NA,entered no GSM area,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Y,75657,8/10/07 8:00,11/8/13 6:00,75657,75657_75657,confirmed dead,confirmed dead,Mauritania,16.93917,-14.44367,carcass found,unknown,11/8/13 6:00,Spain,F,ad,adult,54,N,N,1931,40.23383,-0.61467,2281.916667,y,0.26854,29842.27195,1.025,NA,unknown,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Y,75658,8/22/09 15:00,2/16/12 12:00,75658,75658_75658,likely transmitter failure,likely transmitter failure,Mali,15.41567,-4.51267,inferred from transmissions,NA,2/16/12 12:00,Spain,F,juv,juvenile,3,N,N,777,40.87283,-1.78433,907.875,y,0.164976,18333.45467,10.025,NA,increasing time between fixes,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Y,75659,7/30/09 19:00,7/26/11 12:00,75659,75659_75659,unknown,unknown,Spain,40.8285,-1.86067,unknown,NA,7/26/11 12:00,Spain,F,ad,adult,54,N,N,599,40.78217,-2.17733,725.7083333,y,0.157717,17526.74099,1.425,NA,unknown,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Y,80419,8/14/08 6:00,4/10/11 14:00,80419,80419_80419,likely transmitter failure,likely dead,Spain,40.88983,-1.76333,inferred from transmissions,NA,4/10/11 14:00,Spain,F,ad,adult,54,N,N,842,40.8165,-1.838,969.3333333,y,1.798588,199873.5214,4.666666667,NA,long time between last fixesm during which bird moved significant distance,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Y,80420,7/29/09 7:00,8/16/13 10:00,80420,80420_80420,likely transmitter failure,likely dead,Spain,40.73983,-2.18417,inferred from transmissions,NA,8/16/13 10:00,Spain,M,ad,adult,54,N,N,1227,40.76933,-2.213,1479.125,y,0.098056,10896.72361,8.516666667,NA,increasing time between fixes,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Y,89730,7/30/09 0:00,5/14/13 0:00,89730,89730_89730,unknown,likely dead,Spain,40.7455,-2.448,unknown,NA,5/14/13 0:00,Spain,F,ad,adult,54,N,N,897,40.7375,-2.4555,1384,y,0.023614,2624.188905,3,NA,unknown,NA
Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Y,89731,7/30/09 0:00,8/29/12 0:00,89731,89731_89731,unknown,likely dead,Spain,40.78617,-2.20033,unknown,NA,8/29/12 0:00,Spain,M,ad,adult,54,N,N,862,40.7845,-2.20067,1126,y,0.117368,13042.90766,1.8,NA,unknown,NA
Neophron percnopterus,Egyptian vulture in France (grands Causses-Baronnies),western europe,Y,Baronnies_2019_Imm_wild_OR181635_5T,4/1/19 17:25,5/30/19 3:36,181635,Baronnies_2019_Imm_wild_OR181635_5T_181635,alive,alive,France,43.85716248,5.932906628,active,NA,5/30/19 3:36,France,unknown,2nd yr,immature,22,N,Y,60,44.43438339,5.322945118,58.42417824,y,0.193764,21532.60613,0.997450231,74.2,still transmitting,"born wild, found weakened in Baronnies in autumn 2018. kept in rehabilitation whole winter. released in Baronnies in April 2019"
Neophron percnopterus,Egyptian vulture in France (grands Causses-Baronnies),western europe,Y,Causses_2018_Imm_wild_OR171075_4X,4/5/18 12:00,5/30/19 3:33,171075,Causses_2018_Imm_wild_OR171075_4X_171075,alive,alive,Spain,36.43340302,-5.97423315,active,NA,5/30/19 3:33,France,unknown,2nd yr,immature,22,N,Y,421,44.20375443,3.255665064,419.6479167,y,0.065524,7281.503398,1.000688657,67.6,still transmitting,"born wild in Gorges de la Dourbie, found weakened in Sept 2017. released in sept 2017, found again. Kept in captivity and rehabilitated the whole winter 2017-2018. released 05/04/2018. recovered again in Dourbie Canyon on 16 May 2018. "
Neophron percnopterus,Egyptian vulture Kobierzycki Gardon ,western europe,Y,Gardon_2016_Ad_wild_MW707 ,3/29/16 6:46,5/30/19 1:16,707,Gardon_2016_Ad_wild_MW707 _707,alive,alive,France,44.37482,4.43738,active,NA,5/30/19 1:16,France,M,ad,adult,54,N,N,925,44.2314,4.41436,1156.770405,y,0.002469,274.337693,1.096199074,NA,still transmitting,adult captured at breeding site in Gardon. born in 2009 in Herault and ringed in 2009.
Neophron percnopterus,Egyptian vulture Kobierzycki Pyrenees,western europe,Y,Ossau_2018_Ad_wild_OR17996_PC0,4/21/18 3:44,5/30/19 5:59,17996,Ossau_2018_Ad_wild_OR17996_PC0_17996,alive,alive,France,43.06936646,-0.424849987,active,NA,5/30/19 5:59,France,M,ad,adult,54,N,N,307,43.06973267,-0.415683329,404.0939468,y,0.005853,650.38451,0.990020833,48.9,still transmitting,Adult caught in Ossau (Castet) 21/04/2018. age unknown
Neophron percnopterus,Egyptian vulture Kobierzycki Pyrenees,western europe,Y,Pyrenees_2015_Imm_wild_EC48601087785,6/29/15 0:00,10/28/16 0:01,48601087785,Pyrenees_2015_Imm_wild_EC48601087785_48601087785,unknown,unknown,Senegal,15.982617,-15.830933,unknown,NA,10/28/16 0:01,France,unknown,3rd yr,immature,21,N,Y,404,43.408666,-1.508783,487.0006944,y,0.546455,60726.48769,1,NA,unknown,"born wild, found weakened in Western Pyrenees in autumn 2014. kept in rehabilitation whole winter. released in Western Pyrenees in 29/06/2015. last position in Senegal: possible death or transmitter failure"
Neophron percnopterus,Egyptian vulture Kobierzycki Vaucluse,western europe,Y,Provence_2016_Ad_wild_EO5018_Salome_8P_5018,9/30/16 8:32,5/29/19 6:02,5018,Provence_2016_Ad_wild_EO5018_Salome_8P_5018,alive,alive,France,43.6599439,5.0051528,active,NA,5/29/19 6:02,France,F,ad,adult,54,N,Y,835,43.8350705,5.3740319,970.8956481,y,0.020415,2268.73235,0.994827546,NA,still transmitting,errant last point? has a straight shot from Africa back to France
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,00 White 2013,4/4/14 5:00,5/30/19 5:10,3515,00 White 2013_3515,alive,alive,Syrian Arab Republic,34.4206595,38.2444062,active,NA,5/30/19 5:10,Israel,unknown,312,immature,11,Y,N,1764,32.752136,35.0134302,1882.007222,y,0.394036,43788.4335,0.999320602,NA,still transmitting,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,18 White,4/22/14 4:00,4/27/14 4:00,3516,18 White_3516,unknown,unknown,Israel,32.7645128,35.0122282,unknown,NA,4/27/14 4:00,Israel,unknown,302,immature,11,Y,N,6,32.7534508,35.0138107,5,y,0.095451,10607.32985,1,NA,"Very few fixes. Last location hostile and with good GSM cover, no data for a long period",Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,19 White,4/22/14 4:00,8/27/14 4:00,3517,19 White_3517,likely dead,likely dead,Saudi Arabia,18.1764597,42.0374481,inferred from transmissions,NA,8/26/14 0:00,Israel,unknown,297,juv,10,Y,N,126,32.7534673,35.0137975,127,y,0.650901,72333.28955,1,NA,Same location for 4 months,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,A02 Green 2013,4/4/14 5:00,4/24/17 5:00,3514,A02 Green 2013_3514,unknown,unknown,Israel,32.7527297,35.0125028,unknown,NA,4/24/17 5:00,Israel,unknown,298,juv,10,Y,N,1117,32.7520933,35.0134463,1116,y,0.963721,107096.4265,0.999972222,NA,"Last location very hostile, no data for a long period",Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,A17 Green,4/16/17 0:05,7/4/17 0:06,17113,A17 Green_17113,confirmed dead,confirmed dead,Israel,32.5566864,34.93691635,transmitter recovered,Hit a train when feeding on a dead boer,7/4/17 0:06,Israel,unknown,663,immature,23,Y,N,80,32.55931854,34.93855286,79.00068287,y,0.010247,1138.710391,1.000002315,100,Found,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,A25 Green,12/13/17 0:05,4/22/18 2:37,171087,A25 Green_171087,unknown,unknown,Israel,32.75218964,35.0135231,unknown,NA,4/22/18 2:37,Israel,unknown,582,immature,21,Y,N,131,32.75230026,35.01338959,130.1057292,y,0.071663,7963.758863,0.998981481,99.5,"Last location very hostile, no data for a long period",Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,A26 Green,12/13/17 4:06,5/30/19 2:17,171080,A26 Green_171080,alive,alive,Egypt,29.94383049,33.7244606,active,NA,5/30/19 2:17,Israel,unknown,208,juv,7,Y,N,356,32.75217819,35.01340485,532.9246412,y,1.60466,178322.6516,0.996923611,91.6,still transmitting,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,A46 Green,4/16/17 0:05,5/11/18 1:40,17112,A46 Green_17112,confirmed dead,confirmed dead,Turkey,37.73614502,41.33025742,transmitter recovered,Electrocuted,5/11/18 1:40,Israel,unknown,691,immature,24,Y,N,391,32.55895233,34.93920135,390.0661458,y,0.477057,53014.44197,0.998398148,97.1,Found,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,A47 Green,12/13/17 4:05,8/24/18 2:32,171082,A47 Green_171082,unknown,unknown,Yemen,13.0051918,43.67879105,unknown,NA,8/24/18 2:32,Israel,unknown,182,juv,7,Y,N,255,32.7522583,35.01337051,253.9352546,y,1.230514,136744.5723,1.000892361,99.7,"Stopped transmitting on route to a potential no-GSM cover area, did not return after first migration, might return next year",Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,C39 Blue,4/16/17 0:05,7/23/18 2:20,17111,C39 Blue_17111,confirmed dead,confirmed dead,Israel,32.55898666,34.93889236,transmitter recovered,Hit a train when feeding on a dead boer,7/23/18 2:20,Israel,unknown,701,immature,24,Y,N,464,32.55890274,34.93943405,463.0940509,y,0.000161,17.933392,1.000453704,100,Found,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,EV10,7/15/17 0:05,8/22/17 0:07,17113,EV10_17113,confirmed transmitter failure,confirmed transmitter failure,Sudan,18.05933762,31.1617775,resighted / recaptured,NA,8/22/17 0:07,Israel,unknown,224,juv,8,Y,N,39,32.4717865,34.98392487,38.00115741,y,1.746055,194035.6469,1.000130787,96.1,bird resighted,"Age units are days, transmitter stopped working, bird seen alive summer 2019"
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,H42 Blue,12/13/18 15:05,1/13/19 3:55,180323,H42 Blue_180323,likely dead,likely dead,Saudi Arabia,30.20084763,38.76715088,inferred from transmissions,NA,1/13/19 3:55,Israel,unknown,171,juv,6,Y,N,32,32.75046158,35.01750183,30.53461806,y,0.510123,56688.94241,0.998751157,36.9,"Same location for a long period, was searched for 4 months after disapearnace with nothing found",Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,H42 Green,12/13/17 4:06,5/30/19 2:08,171086,H42 Green_171086,alive,alive,Palestine,31.48824501,35.31668472,active,NA,5/30/19 2:08,Israel,unknown,570,immature,20,Y,N,427,32.75216293,35.01342392,532.9183218,y,1.172745,130324.7974,1.00050463,82.3,still transmitting,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,H50 Green,12/13/17 4:06,8/8/18 2:43,171084,H50 Green_171084,confirmed dead,confirmed dead,Egypt,28.13488197,34.36839676,transmitter recovered,"Found in a drinking pool, possibly drowned after exhaustion",8/8/18 2:43,Israel,unknown,207,juv,7,Y,N,239,32.75217056,35.01344299,237.9425,y,1.065837,118444.3287,1.001391204,99.4,Found,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,H54 Green,12/22/18 4:09,5/20/19 5:29,180324,H54 Green_180324,unknown,unknown,Syrian Arab Republic,36.32237244,40.25368881,unknown,NA,5/20/19 5:29,Israel,unknown,551,immature,20,Y,N,147,32.75208282,35.01375961,149.0554282,y,1.137203,126375.149,1.000888889,100,"Last location hostile but with very poor GSM cover, no data for a long period",Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,H57 Green,12/23/18 4:10,4/4/19 6:17,180325,H57 Green_180325,confirmed dead,confirmed dead,Turkey,37.7419548,36.8273735,transmitter recovered,Electrocuted,4/4/19 6:17,Israel,unknown,549,immature,19,Y,N,98,32.75209427,35.01347733,102.0884838,y,0.6488,72099.80917,1.010130787,79.4,Found,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,H60 Blue,12/13/17 5:22,5/30/19 1:33,16124,H60 Blue_16124,alive,alive,Syrian Arab Republic,33.0796051,35.67793655,active,NA,5/30/19 1:33,Israel,unknown,550,immature,19,Y,N,360,32.75217819,35.01341629,532.8411921,y,0.003782,420.332436,0.999958333,87.4,still transmitting,Age units are days
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Y,H70 Green,12/22/18 4:10,5/30/19 1:19,180326,H70 Green_180326,alive,alive,Turkey,39.93067551,40.65314484,active,NA,5/30/19 1:19,Israel,unknown,543,immature,19,Y,N,156,32.75210953,35.0135231,158.8810069,y,0.860195,95591.77908,0.99847338,97.9,still transmitting,Age units are days
