"id.tag","species","study.name","id","tag","start.date","end.date","start.lat","start.long","end.lat","end.long","mean.GPS.dist.last10fixes","mean.GPS.fixrate.last10fixes","mean.battery.charge.percent.last10fixes","deployment.duration","fate","age.at.deployment","sex","captive.raised","rehabilitated","how.fate.determined","cause.of.death","death.or.failure.date","comments","start.country","end.country","n.locs","start.date.adjusted","end.date.adjusted"
"Armenia2_48500703868","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Armenia2","48500703868","2015-07-22 05:01:00","2015-10-18 00:01:00","39.491799","46.35705","7.746899","43.0665","0.439060229093566","1",NA,"87.7916666666667",NA,"3RD YEAR",NA,"N","N",NA,NA,NA,NA,"Armenia","Ethiopia","89","2015-07-22 12:00:00",NA
"Armenia3_48500704009","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Armenia3","48500704009","2015-07-24 00:02:00","2015-11-07 00:02:00","39.5061","46.345799","6.093983","44.76245","0.268750881260253","1.2",NA,"106",NA,"Adult",NA,"N","N",NA,NA,NA,NA,"Armenia","Ethiopia","91","2015-07-24 11:00:00",NA
"Arpacay_118174","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Arpacay","118174","2012-08-20 17:00:00","2012-09-26 01:00:00","40.123","43.60117","31.40283","45.07967","0.847637370642619","1.125",NA,"36.3333333333333",NA,"SA (3-4 years)",NA,"N","N",NA,NA,NA,NA,"Turkey","Iraq","30","2012-08-21 10:00:00",NA
"Cabuk_132087","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Cabuk","132087","2014-07-01 03:00:35","2015-12-08 02:00:34","40.0833","43.6676","11.0695","40.364","0.230214598630889","6.71734375",NA,"524.958321759259",NA,"2nd year",NA,"N","N",NA,NA,NA,NA,"Turkey","Ethiopia","511","2014-07-05 10:00:00",NA
"Djibouti_127589","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Djibouti","127589","2013-04-04 22:47:53","2014-05-03 06:37:24","11.1891","42.764","10.4281","42.2315","0.206515674163489","1.82780671296296",NA,"393.326053240741",NA,"4th winter",NA,"N","N",NA,NA,NA,NA,"Djibouti","Ethiopia","348","2013-04-04 04:00:00",NA
"Haydi_132084","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Haydi","132084","2014-06-09 02:46:24","2016-04-27 08:00:11","40.0813","43.6665","1.6534","37.8024","0.000190312195417659","15.8728148148148",NA,"688.217905092593",NA,"3rd year",NA,"N","N",NA,NA,NA,NA,"Turkey","Kenya","671","2014-06-09 08:00:00",NA
"Igdir_118175","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Igdir","118175","2012-08-22 05:00:00","2015-03-01 01:00:00","40.12167","43.5835","4.2755","42.06417","0.15733318758182","1",NA,"920.833333333333","dead","ADULT (5+ years)",NA,"N","N","bird / tag recovery","poisoning",NA,NA,"Turkey","Ethiopia","874","2012-08-23 05:00:00",NA
"Iste_132086","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Iste","132086","2014-06-10 02:36:30","2019-05-30 04:00:34","40.0831","43.6674","39.8344","42.5493","0.0172689821123505","1.29840277777778",NA,"1815.05837962963","alive","Adult 5+",NA,"N","N",NA,NA,NA,NA,"Turkey","Turkey","1747","2014-06-10 00:00:00",NA
"Logiya_118174","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Logiya","118174","2013-12-01 05:00:00","2019-05-30 16:00:00","11.71533","40.974","39.08683","46.96567","0.0124504205483494","0.9875",NA,"2006.45833333333","alive","SUBADULT (~2.5 YEARS)",NA,"N","N",NA,NA,NA,NA,"Ethiopia","Iran (Islamic Republic of)","1825","2013-12-01 06:00:00",NA
"Mille_132085","Neophron percnopterus","Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ","Mille","132085","2013-11-26 08:48:06","2015-06-19 08:01:00","9.4482","40.3726","13.2598","37.02","0.499958568498045","47.0806006944444",NA,"569.967291666667",NA,"2nd year",NA,"N","N",NA,NA,NA,NA,"Ethiopia","Ethiopia","556","2013-12-01 00:00:00",NA
