"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter"
0.876065410603667,0.0216231939399025,0.828851810535468,0.863265181843756,0.87732051849195,0.891785394559609,0.913823344505924,1.00443335724092,346,0,1,"phi[1]"
0.938614478782641,0.0258064710714261,0.879790147045884,0.924694782648597,0.941799910539277,0.957009657732049,0.97857734917308,1.00147437613166,585,0,1,"phi[2]"
0.986553553188838,0.00360669662977815,0.978872077846822,0.984330667103812,0.986914113094942,0.989103179102874,0.992581810030495,1.00365338019447,750,0,1,"phi[3]"
0.990881005408701,0.00353685542533646,0.982434717994027,0.988647598331636,0.991425300151261,0.993467384417241,0.996456387429807,0.999822254604862,750,0,1,"phi[4]"
0.997046288989809,0.00205538672951668,0.991982931574326,0.995866878738807,0.997460846325882,0.998681595693944,0.999687333951923,0.999248583107254,750,0,1,"phi[5]"
0.995909014983176,0.00200375352456018,0.991213213722086,0.994775648416782,0.996178299936649,0.997476871031415,0.998835230144407,1.00011889052513,750,0,1,"phi[6]"
0.998134731555319,0.00160766598782344,0.994220183434838,0.997365620118506,0.998594675143813,0.99931440067101,0.999832396857162,1.00874273491585,750,0,1,"phi[7]"
0.918391041318354,0.0746714984901529,0.734709796124493,0.884729851897951,0.938777669233313,0.975531414102126,0.997111670177578,1.00171469083971,750,0,1,"phi[8]"
0.773134226303218,0.120947272130887,0.541912298135635,0.68244299562497,0.781228743773057,0.872243317977285,0.962732927489091,1.00315976922981,455,0,1,"phi[9]"
0.976665481437082,0.0101597568977802,0.953165668580879,0.970559279436382,0.978176932692061,0.984134771593071,0.992478785261903,0.998670490631384,750,0,1,"phi[10]"
0.940870800634225,0.0189344072594651,0.897175412114106,0.929072192064566,0.942857845876954,0.954422287238092,0.971114363599489,1.00047100125081,750,0,1,"phi[11]"
0.997959288353665,0.00118065767096072,0.995138244638983,0.997331205479999,0.998201454225943,0.998838351208381,0.999543134658511,1.00295321795442,629,0,1,"phi[12]"
0.98476023094407,0.00277357045400505,0.979020718234556,0.982932402263807,0.984915449818887,0.986728465840589,0.98958443031491,0.998845741636383,750,0,1,"phi[13]"
0.995881866496997,0.00183580430974075,0.991696384107772,0.994879596413396,0.996153159096397,0.997223917754966,0.998804089860749,1.00134211050584,750,0,1,"phi[14]"
0.112605519284232,0.00514996417087983,0.103108423768108,0.109183145107934,0.112459111544597,0.116312449139342,0.122397183636651,1.00389363192153,750,0,1,"p.seen.alive"
0.432133317638158,0.00975890445145526,0.412912552230612,0.425522808046627,0.43162535020557,0.438630286886491,0.451740234625612,1.00099154457242,750,0,1,"p.found.dead"
8996.98093633351,23.0113519233349,8952.77441788108,8981.51049140851,8996.15289602265,9013.5453590447,9042.99566175091,1.0021880886286,655,0,1,"deviance"
