Population,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
central and east,adult,captive,0.861211540268705,0.767453082844788,0.916970524132476
central and east,adult,wild,0.891724349819576,0.827370724664034,0.93603622723238
central and east,juvenile,captive,0.458149004381336,0.282678998321775,0.604355269565022
central and east,juvenile,wild,0.546598134216469,0.39292688738439,0.681117396187537
western Europe,adult,wild,0.942829289420189,0.895664107671757,0.971348355748533
western Europe,juvenile,wild,0.730989583416003,0.56925711629477,0.850083048162157
