species,study.name,id,tag,id.tag,fate,how.fate.determined.clean,how.fate.determined,comments,sex,age.at.deployment,captive.raised,rehabilitated,n.locs,start.date,end.date,start.lat,start.long,end.lat,end.long,deployment.duration,cause.of.death,start.country,end.country,age.at.deployment.month,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,mean.battery.charge.percent.last10fixes
Neophron percnopterus,Neophron percnopterus. GREFA. Spain,95R,5019,95R_5019,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,NA,unknown,unknown,N,N,444,7/26/16 5:00,1/13/18 17:00,42.330439,-7.2841079,15.5335782,-8.0311031,536.4996065,NA,Spain,Mauritania,NA,0.019178446,2.2930625,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",Tuzluca,209,Tuzluca_209,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,NA,unknown,ad,N,N,1193,6/22/13 1:14,10/5/16 0:29,40.081,43.66704,19.86006,41.10614,1200.968542,NA,Turkey,Saudi Arabia,54,1.786326022,0.999340278,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",Armenia3,48500704009,Armenia3_48500704009,likely transmitter failure,abrupt termination,"transmission ceased abruptly while bird was moving, increasing time bewtween fixes",NA,unknown,ad,N,N,91,7/24/15 0:02,11/7/15 0:02,39.5061,46.345799,6.093983,44.76245,106,NA,Armenia,Ethiopia,54,0.268750881,1.2,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",Serhat,10007,Serhat_10007,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,NA,unknown,5th yr,N,N,124,6/17/14 15:59,10/30/14 1:12,40.19459,43.63137,10.5359,40.455,134.3840278,NA,Turkey,Ethiopia,54,0.233944036,0.919791667,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",Ardahan,210,Ardahan_210,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,NA,unknown,ad,N,N,451,6/22/13 1:14,9/17/14 0:27,40.07148,43.66676,16.81774,42.84321,451.9668403,NA,Turkey,Saudi Arabia,54,2.315840323,1.036113426,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",Agri,130662,Agri_130662,likely transmitter failure,abrupt termination,transmission ceased abruptly while bird was moving,NA,unknown,ad,N,N,324,6/22/13 1:00,7/19/14 14:00,40.08083,43.667,39.7845,43.24833,392.5416667,NA,Turkey,Turkey,54,0.02539031,3.523266204,NA
Neophron percnopterus,Egyptian vultures in Djibouti,127589,127589,127589_127589,likely transmitter failure,resighted / recaptured,"intermittent fixes, bird seen in good condition","intermittant after 4 Mar 2014, last location 7 Jun 2018. Bird seemingly alive at that time.",unknown,ad,N,N,252,3/11/13 5:56,1/31/14 1:44,11.7859,42.8239,12.0148,43.2961,325.8246412,NA,Djibouti,Djibouti,54,0.105923263,1.097951389,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Argentina,53800,Argentina_53800,likely transmitter failure,inferred from transmissions,NA,NA,unknown,ad,N,N,2434,2/5/11 17:35,11/4/17 0:55,-36.904,-64.2445,-36.9144,-64.2402,2463.305799,NA,Argentina,Argentina,54,0.002193092,1.021888889,NA
Cathartes aura,Vulture Movements,MEX_TV,68360,MEX_TV_68360,likely dead,inferred from transmissions,last location at Pigeon Point roost,"bird and transmitter NOT found at last location, unknown fate of both",unknown,ad,N,N,1247,4/5/07 15:00,9/20/10 0:00,32.461,-80.70867,32.44517,-80.68283,1263.375,unknown,United States,United States,54,0.07153615,1,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,Castor,135955,Castor_135955,confirmed dead,resighted / recaptured,transmission ended,tagged after found disorientated due to lead poisoning,unknown,ad,N,Y,643,5/14/14 11:00,2/15/16 1:00,40.62333,21.51933,6.76017,42.83233,641.5833333,unknown,Greece,Ethiopia,54,0.01079245,1,NA
