Population,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
Balkans/Italy,adult,wild,0.832422207422806,0.753273872518435,0.895316848839898
Balkans/Italy,juvenile,captive,0.264678715204917,0.142160896806941,0.424156455746654
Balkans/Italy,juvenile,wild,0.420377242105613,0.261487036318957,0.584946535457301
Caucasus/Middle East,adult,wild,0.922097413780322,0.880919952753724,0.95198103589407
Caucasus/Middle East,juvenile,captive,0.551457997646427,0.375520947331679,0.683478606330406
Caucasus/Middle East,juvenile,wild,0.677792346717051,0.54113548380601,0.781612202773457
western Europe,adult,wild,0.945645632490328,0.914276250363145,0.969607529459824
western Europe,juvenile,wild,0.778192364909684,0.671023644261033,0.868577281507133
