species,study.name,population,population.binned,migrant,id,start.date,end.date,mortality.date,age.at.deployment.month,deployment.duration,deployment.duartion.month,age.at.fate.month,age.at.fate,age.at.fate.simple,tag,id.tag,start.country,end.country,fate.old,fate.annual.stage,fate.final,fate.final.binned,how.fate.determined.clean,cause.of.death,cause.of.death.simple,death.anthro,sex,age.at.deployment,age.at.deployment.clean,origin,rehabilitated,n.locs,start.lat,start.long,end.lat,end.long,data.owner.proofed,how.fate.determined,comments,lat.mort,long.mort
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",caucasus,Middle East,Y,Arpacay,8/20/12 17:00,9/26/12 1:00,9/26/12 0:00,26,36.33333333,1.211111111,27.21111111,immature,adult,118174,Arpacay_118174,Turkey,Iraq,confirmed dead,fall mig.,confirmed dead,dead,resighted / recaptured,"emaciation on migration, although potentially poisoned or collision. Not entirely sure",unknown,NA,unknown,3rd yr,immature,wild,N,30,40.123,43.60117,31.40283,45.07967,y,"bird died in captivity of falconer in Iraq, transmitter recovered",NA,33.23983,44.96333
Neophron percnopterus,Egyptian vultures Dagestan2,caucasus,Middle East,Y,Malysh,7/23/17 8:18,10/22/17 9:58,10/15/17 0:00,1,91.06944444,3.035648148,4.035648148,juvenile,juvenile,116,Malysh_116,Russia,Saudi Arabia,confirmed dead,fall mig.,confirmed dead,dead,resighted / recaptured,Collision with wires on power line and delivered to a rehabilitation center,energy infrastructure,y,unknown,juv,juvenile,wild,N,69,42.98465,47.18038,21.26675,40.70254,y,resighted / recaptured,Tagged in the nest,21.25267,40.69912
Neophron percnopterus,Egyptian vultures Dagestan2,caucasus,Middle East,Y,Gurman,7/24/17 12:12,11/4/18 3:27,11/4/18 3:27,1,467.6354167,15.58784722,16.58784722,juvenile,juvenile,114,Gurman_114,Russia,Yemen,likely transmitter failure,non-breed.,likely transmitter failure,unknown,inferred from transmissions,NA,NA,NA,unknown,juv,juvenile,wild,N,449,43.00113,47.20156,13.88479,43.77549,y,1 sensor failed while another continued to transmit data.,Tagged in the nest,13.88479,43.77549
Neophron percnopterus,Egyptian vultures Dagestan2,caucasus,Middle East,Y,Kapchug,7/23/17 10:37,9/25/17 2:59,9/25/17 2:59,1,63.68194444,2.122731481,3.122731481,juvenile,juvenile,115,Kapchug_115,Russia,Azerbaijan,unknown,fall mig.,unknown,unknown,unknown,NA,NA,NA,unknown,juv,juvenile,wild,N,31,42.98421,47.18025,38.96566,48.78752,y,unknown,Tagged in the nest,38.96566,48.78752
Neophron percnopterus,Egyptian vultures Dagestan2,caucasus,Middle East,Y,Sarygush,7/23/17 8:18,9/29/17 11:13,9/17/17 0:00,1,68.12152778,2.270717593,3.270717593,juvenile,juvenile,117,Sarygush_117,Russia,Iraq,confirmed dead,fall mig.,confirmed dead,dead,resighted / recaptured,Caught by poachers and sold in the market,persecuted,y,unknown,juv,juvenile,wild,N,47,42.98449,47.18051,34.69167,44.03076,y,resighted / recaptured,Tagged in the nest,38.61449,44.75547
Neophron percnopterus,ISPRA,italy,Balkans & Italy,Y,Clara_IHC,8/16/18 9:30,9/8/18 6:00,9/8/18 6:00,3,22.85444444,0.761814815,2.761814815,juvenile,juvenile,B05AF11F,Clara_IHC_B05AF11F,Italy,Italy,confirmed dead,fall mig.,confirmed dead,dead,terminated over water,shot / persecuted,persecuted,y,F,juv,juvenile,captive,N,24,40.64519,16.6618667,37.7127983,12.6724333,y,retrieved transmitter and carcass,X rays revealed many gunshot in the carcass,37.56332,13.1529
Neophron percnopterus,ISPRA,italy,Balkans & Italy,Y,Binca_IHB,8/16/18 8:59,9/12/18 5:00,9/12/18 5:00,3,26.83435185,0.894478395,2.894478395,juvenile,juvenile,AF5AF11F,Bianca_IHB_AF5AF11F,Italy,NA,confirmed dead,fall mig.,confirmed dead,dead,carcass found,Drop in the sea,drowned,n,F,juv,juvenile,captive,N,25,40.6451833,16.66185,36.7739717,12.0043667,y,retrieved transmitter and carcass,terminated over water,37.68234,12.6137
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Balkans & Italy,Y,Agata,8/26/15 8:00,9/4/15 8:00,8/30/15 0:00,3,9,0.3,3.3,juvenile,juvenile,119157,Agata_119157,Italy,NA,confirmed dead,fall mig.,confirmed dead,dead,terminated over water,Drop in the sea,drowned,n,F,juv,juvenile,captive,N,10,37.39733,13.36967,36.8275,13.1485,y,stopped at sea,NA,37.84917,12.596
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Balkans & Italy,Y,Aneta,9/7/15 0:01,10/3/15 0:00,9/24/15 0:00,3,25.99930556,0.866643519,3.866643519,juvenile,juvenile,48500502206,Aneta_48500502206,Italy,NA,confirmed dead,fall mig.,confirmed dead,dead,terminated over water,Drop in the sea,drowned,n,F,juv,juvenile,captive,N,27,39.10625,16.891933,33.028566,21.455933,y,stopped at sea,NA,36.762,14.84447
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Balkans & Italy,Y,Sara,8/26/15 20:00,5/30/19 4:00,5/30/19 4:00,3,1372.333333,45.74444443,48.74444443,immature,adult,23306,Sara_23306,Italy,Niger,alive,NA,alive,alive,active,NA,NA,NA,F,juv,juvenile,captive,N,1372,39.9165,18.3045,40.6455,16.641,y,still transmitting,NA,40.6455,16.641
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Balkans & Italy,Y,Tobia,9/7/15 0:01,5/30/19 5:00,5/30/19 5:00,3,1361.207639,45.37358797,48.37358797,immature,adult,48500501945,Tobia_48500501945,Italy,Mali,alive,NA,alive,alive,active,NA,NA,NA,M,juv,juvenile,captive,N,1349,39.1062,16.891899,37.492649,14.568049,y,still transmitting,NA,37.49265,14.56805
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Balkans & Italy,Y,Karel,9/8/15 12:12,10/20/15 8:00,10/20/15 8:00,3,41.82449074,1.394149691,4.394149691,juvenile,juvenile,119158,Karel_119158,Italy,Italy,likely dead,fall mig.,likely transmitter failure,unknown,inferred from transmissions,unknown,NA,NA,M,juv,juvenile,captive,N,42,38.997,16.881,36.75667,15.063,y,"stopped at sea, but near shore, so not confirmed mortality",NA,36.75667,15.063
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Balkans & Italy,Y,Apollo,7/24/17 23:09,9/27/17 4:48,9/27/17 4:48,3,64.23530093,2.141176698,17.1411767,juvenile,juvenile,16093,Apollo_16093,Italy,Tunisia,confirmed dead,fall mig.,confirmed dead,dead,carcass found,poisoning,poisoning,y,M,juv,juvenile,captive,N,61,40.24658966,16.10240936,34.45599747,9.631937027,y,retrieved transmitter and carcass,"Probably poisoned. The carcass showed clear signs of convulsions (fethers abraded, turned nek and open beak)",34.53762,9.782465
Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Balkans & Italy,Y,Carmen,9/7/15 0:01,12/26/15 0:01,10/17/15 0:00,3,110,3.666666667,6.666666667,juvenile,juvenile,48500501963,Carmen_48500501963,Italy,NA,confirmed dead,fall mig.,confirmed dead,dead,terminated over water,Drop in the sea,drowned,n,F,juv,juvenile,captive,N,111,39.106233,16.891899,31.709233,25.805033,y,stopped at sea,looks to have died at see and tx floated long after,36.84068,14.59947
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,A17 Green,4/16/17 0:05,7/4/17 0:06,7/4/17 0:06,23,79.00068287,2.633356096,25.6333561,immature,adult,17113,A17 Green_17113,Israel,Israel,confirmed dead,breeding,confirmed dead,dead,transmitter recovered,Hit a train when feeding on a dead boer,collision (train),y,unknown,663,immature,captive,N,80,32.55931854,34.93855286,32.5566864,34.93691635,y,Found,Age units are days,32.55893,34.93917
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,C39 Blue,4/16/17 0:05,7/23/18 2:20,7/23/18 2:20,24,463.0940509,15.43646836,39.43646836,immature,adult,17111,C39 Blue_17111,Israel,Israel,confirmed dead,breeding,confirmed dead,dead,transmitter recovered,Hit a train when feeding on a dead boer,collision (train),y,unknown,701,immature,captive,N,464,32.55890274,34.93943405,32.55898666,34.93889236,y,Found,Age units are days,32.55886,34.93919
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,A46 Green,4/16/17 0:05,5/11/18 1:40,5/11/18 1:40,24,390.0661458,13.00220486,37.00220486,immature,adult,17112,A46 Green_17112,Israel,Turkey,confirmed dead,breeding,confirmed dead,dead,transmitter recovered,Electrocuted,energy infrastructure,y,unknown,691,immature,captive,N,391,32.55895233,34.93920135,37.73614502,41.33025742,y,Found,Age units are days,37.73614,41.32782
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,H57 Green,12/23/18 4:10,4/4/19 6:17,4/4/19 6:17,19,102.0884838,3.40294946,22.40294946,immature,adult,180325,H57 Green_180325,Israel,Turkey,confirmed dead,spring mig.,confirmed dead,dead,transmitter recovered,Electrocuted,energy infrastructure,y,unknown,549,immature,captive,N,98,32.75209427,35.01347733,37.7419548,36.8273735,y,Found,Age units are days,37.44422,36.87462
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,H94 Blue,12/13/17 4:06,5/17/19 2:07,5/17/19 2:07,19,519.9177315,17.33059105,36.33059105,immature,adult,171085,H94 Blue_171085,Israel,Turkey,confirmed dead,breeding,confirmed dead,dead,transmitter recovered,Electrocuted,energy infrastructure,y,unknown,545,immature,captive,N,521,32.75212479,35.01343918,36.40061188,33.67343903,y,Found,Age units are days,36.91549,31.88493
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,X86 Blue,12/24/18 4:11,1/3/19 4:14,1/3/19 4:14,8,10.00262731,0.33342091,8.33342091,juvenile,juvenile,180321,X86 Blue_180321,Israel,Israel,confirmed dead,breeding,confirmed dead,dead,transmitter recovered,Electrocuted,energy infrastructure,y,unknown,219,juv,captive,N,11,32.75218201,35.01345825,32.69799423,34.99830246,y,Found,Age units are days,32.69992,34.9973
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,H50 Green,12/13/17 4:06,8/8/18 2:43,8/8/18 2:43,7,237.9425,7.931416667,14.93141667,juvenile,juvenile,171084,H50 Green_171084,Israel,Egypt,confirmed dead,fall mig.,confirmed dead,dead,transmitter recovered,"Found in a drinking pool, possibly drowned after exhaustion",exhaustion,n,unknown,207,juv,captive,N,239,32.75217056,35.01344299,28.13488197,34.36839676,y,Found,Age units are days,28.69043,33.55215
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,00 White 2013,4/4/14 5:00,5/30/19 5:10,5/30/19 5:10,11,1882.007222,62.73357407,73.73357407,adult,adult,3515,00 White 2013_3515,Israel,Syrian Arab Republic,alive,NA,alive,alive,active,NA,NA,NA,unknown,312,immature,captive,N,1764,32.752136,35.0134302,34.4206595,38.2444062,y,still transmitting,Age units are days,34.4060907,38.2296871
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,A26 Green,12/13/17 4:06,5/30/19 2:17,5/30/19 2:17,7,532.9246412,17.76415471,24.76415471,immature,adult,171080,A26 Green_171080,Israel,Egypt,alive,NA,alive,alive,active,NA,NA,NA,unknown,208,juv,captive,N,356,32.75217819,35.01340485,29.94383049,33.7244606,y,still transmitting,Age units are days,29.99342,32.34182
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,H42 Green,12/13/17 4:06,5/30/19 2:08,5/30/19 2:08,20,532.9183218,17.76394406,37.76394406,immature,adult,171086,H42 Green_171086,Israel,Palestine,alive,NA,alive,alive,active,NA,NA,NA,unknown,570,immature,captive,N,427,32.75216293,35.01342392,31.48824501,35.31668472,y,still transmitting,Age units are days,33.29406,36.83083
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,H60 Blue,12/13/17 5:22,5/30/19 1:33,5/30/19 1:33,19,532.8411921,17.76137307,36.76137307,immature,adult,16124,H60 Blue_16124,Israel,Syrian Arab Republic,alive,NA,alive,alive,active,NA,NA,NA,unknown,550,immature,captive,N,360,32.75217819,35.01341629,33.0796051,35.67793655,y,still transmitting,Age units are days,33.07961,35.67799
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,H70 Green,12/22/18 4:10,5/30/19 1:19,5/30/19 1:19,19,158.8810069,5.296033563,24.29603356,immature,adult,180326,H70 Green_180326,Israel,Turkey,alive,NA,alive,alive,active,NA,NA,NA,unknown,543,immature,captive,N,156,32.75210953,35.0135231,39.93067551,40.65314484,y,still transmitting,Age units are days,39.79147,40.38647
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,R2,4/5/16 2:41,12/6/17 5:00,12/6/17 5:00,11,610.0966667,20.33655556,31.33655556,immature,adult,16015,R2_16015,Israel,Sudan,confirmed transmitter failure,non-breed.,confirmed transmitter failure,transmitter failure,resighted / recaptured,NA,NA,NA,unknown,305,immature,captive,N,386,32.55886841,34.93929672,11.31221867,26.67757416,y,still transmitting,"Age units are days, transmitter fell, seen alive June 2019",11.29977,26.69971
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,EV10,7/15/17 0:05,8/22/17 0:07,8/22/17 0:07,8,38.00115741,1.266705247,9.266705247,juvenile,juvenile,17113,EV10_17113,Israel,Sudan,confirmed transmitter failure,fall mig.,confirmed transmitter failure,transmitter failure,resighted / recaptured,NA,NA,NA,unknown,224,juv,captive,N,39,32.4717865,34.98392487,18.05933762,31.1617775,y,bird resighted,"Age units are days, transmitter stopped working, bird seen alive summer 2019",26.014,32.65668
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,H92 Green,12/23/18 4:10,3/18/19 3:22,3/18/19 3:22,8,84.96701389,2.832233796,10.8322338,juvenile,juvenile,180320,H92 Green_180320,Israel,Israel,confirmed transmitter failure,breeding,confirmed transmitter failure,transmitter failure,resighted / recaptured,NA,NA,NA,unknown,223,juv,captive,N,73,32.7522316,35.01348495,32.75212097,35.01334763,y,"transmission ceased abruptly, bird seen alive later","Age units are days, transmitter fell, seen alive March 2019",32.75438,35.00495
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,19 White,4/22/14 4:00,8/27/14 4:00,8/26/14 0:00,10,127,4.233333333,14.23333333,juvenile,juvenile,3517,19 White_3517,Israel,Saudi Arabia,likely dead,fall mig.,likely dead,dead,inferred from transmissions,NA,NA,NA,unknown,297,juv,captive,N,126,32.7534673,35.0137975,18.1764597,42.0374481,y,Same location for 4 months,Age units are days,19.54211,41.38896
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,H42 Blue,12/13/18 15:05,1/13/19 3:55,1/13/19 3:55,6,30.53461806,1.017820602,7.017820602,juvenile,juvenile,180323,H42 Blue_180323,Israel,Saudi Arabia,likely dead,breeding,likely dead,dead,inferred from transmissions,NA,NA,NA,unknown,171,juv,captive,N,32,32.75046158,35.01750183,30.20084763,38.76715088,y,"Same location for a long period, was searched for 4 months after disapearnace with nothing found",Age units are days,30.19907,38.70304
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,A02 Green 2013,4/4/14 5:00,4/24/17 5:00,4/24/17 5:00,10,1116,37.2,47.2,immature,adult,3514,A02 Green 2013_3514,Israel,Israel,unknown,breeding,unknown,unknown,unknown,NA,NA,NA,unknown,298,juv,captive,N,1117,32.7520933,35.0134463,32.7527297,35.0125028,y,"Last location very hostile, no data for a long period",Age units are days,33.23314,35.53657
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,A25 Green,12/13/17 0:05,4/22/18 2:37,4/22/18 2:37,21,130.1057292,4.33685764,25.33685764,immature,adult,171087,A25 Green_171087,Israel,Israel,unknown,breeding,unknown,unknown,unknown,NA,NA,NA,unknown,582,immature,captive,N,131,32.75230026,35.01338959,32.75218964,35.0135231,y,"Last location very hostile, no data for a long period",Age units are days,32.7522,35.01373
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,H54 Green,12/22/18 4:09,5/20/19 5:29,5/20/19 5:29,20,149.0554282,4.968514273,24.96851427,immature,adult,180324,H54 Green_180324,Israel,Syrian Arab Republic,unknown,breeding,unknown,unknown,unknown,NA,NA,NA,unknown,551,immature,captive,N,147,32.75208282,35.01375961,36.32237244,40.25368881,y,"Last location hostile but with very poor GSM cover, no data for a long period",Age units are days,36.33317,40.28071
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,H81 Green,10/25/17 9:12,5/30/19 1:53,5/30/19 1:53,6,581.6948032,19.38982677,25.38982677,immature,adult,171081,H81 Green_171081,Israel,Turkey,unknown,spring mig.,unknown,unknown,unknown,NA,NA,NA,unknown,155,juv,captive,N,511,32.753479,35.01400375,36.94350815,34.68184662,y,"Last location hostile but with very poor GSM cover, no data for a long period",Age units are days,37.14785,34.91915
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,R1,4/5/16 2:40,5/4/18 6:40,5/4/18 6:40,11,759.1668981,25.30556327,36.30556327,immature,adult,16012,R1_16012,Israel,Sudan,unknown,non-breed.,unknown,unknown,unknown,NA,NA,NA,unknown,324,immature,captive,N,639,32.55897522,34.93922043,14.22767544,24.59109688,y,unknown,Age units are days,14.23023,24.59186
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,X34 Blue,4/16/17 3:34,8/25/18 3:30,8/25/18 3:30,22,495.9977431,16.5332581,38.5332581,immature,adult,16126,X34 Blue_16126,Israel,Saudi Arabia,unknown,fall mig.,unknown,unknown,unknown,NA,NA,NA,unknown,660,immature,captive,N,496,32.55898666,34.93927383,19.09997559,41.41659164,y,"Stopped transmitting on route to a potential no-GSM cover area, did not return after migration, might return next year",Age units are days,20.56361,40.06383
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,Yellow 04,11/14/13 6:00,4/29/15 0:20,4/29/15 0:20,10,530.7642593,17.69214198,27.69214198,immature,adult,119246,Yellow 04_119246,Israel,Israel,unknown,breeding,unknown,unknown,unknown,NA,NA,NA,unknown,297,juv,captive,N,532,32.75283,35.0115,32.7568,35.00227,y,transmission ceased abruptly in a very good GSM cover area,Age units are days,33.5762,35.93939
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,18 White,4/22/14 4:00,4/27/14 4:00,4/27/14 4:00,11,5,0.166666667,11.16666667,juvenile,juvenile,3516,18 White_3516,Israel,Israel,unknown,breeding,unknown,unknown,unknown,NA,NA,NA,unknown,302,immature,captive,N,6,32.7534508,35.0138107,32.7645128,35.0122282,y,"Very few fixes. Last location hostile and with good GSM cover, no data for a long period",Age units are days,32.77028,34.99142
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,A47 Green,12/13/17 4:05,8/24/18 2:32,8/24/18 2:32,7,253.9352546,8.464508487,15.46450849,juvenile,juvenile,171082,A47 Green_171082,Israel,Yemen,unknown,fall mig.,unknown,unknown,unknown,NA,NA,NA,unknown,182,juv,captive,N,255,32.7522583,35.01337051,13.0051918,43.67879105,y,"Stopped transmitting on route to a potential no-GSM cover area, did not return after first migration, might return next year",Age units are days,12.97406,43.71962
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,R0,4/5/16 2:36,10/1/16 4:05,10/1/16 4:05,10,179.0618403,5.96872801,15.96872801,juvenile,juvenile,16013,R0_16013,Israel,Egypt,unknown,fall mig.,unknown,unknown,unknown,NA,NA,NA,unknown,299,juv,captive,N,179,32.55883789,34.93921661,29.45985413,33.30299377,y,Last location in a house,Age units are days,29.51556,33.27859
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,R4,4/5/16 2:40,5/25/16 1:52,5/25/16 1:52,10,49.96659722,1.665553241,11.66555324,juvenile,juvenile,16014,R4_16014,Israel,Turkey,unknown,breeding,unknown,unknown,unknown,NA,NA,NA,unknown,292,juv,captive,N,51,32.55524826,34.93397522,36.21194458,36.59433746,y,"Last location hostile, no data for a long period",Age units are days,36.19831,36.58388
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,White 08,3/15/13 15:32,8/19/13 3:22,8/16/13 0:00,14,156.4932755,5.216442517,19.21644252,immature,adult,119246,White 08_119246,Israel,Israel,confirmed dead,breeding,confirmed dead,dead,transmitter recovered,Killed by Bonnelie's eagle,predated,n,unknown,392,immature,captive,N,158,32.85542,33.88082,32.79932,35.16793,y,Found,Age units are days,32.75283,35.01183
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,White 12,3/13/13 13:00,8/31/15 8:00,8/30/15 0:00,13,900.7916667,30.02638889,43.02638889,immature,adult,119245,White 12_119245,Israel,Egypt,confirmed dead,fall mig.,confirmed dead,dead,transmitter recovered,NA,unknown,NA,unknown,370,immature,captive,N,902,32.75817,35.008,26.80067,34.04067,y,Found,Age units are days,28.08683,33.976
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,H73 Blue,12/24/18 4:10,3/29/19 3:02,3/29/19 3:02,20,94.95304398,3.165101466,23.16510147,immature,adult,180327,H73 Blue_180327,Israel,Turkey,confirmed dead,breeding,confirmed dead,dead,transmitter recovered,"Unknown, awaiting details from Turkish authorities",unknown,NA,unknown,577,immature,captive,N,96,32.75222015,35.01353073,37.01908875,35.53696823,y,found,Age units are days,36.82848,35.58697
Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,Middle East,Y,R3,4/5/16 2:41,4/14/16 2:49,4/14/16 2:49,10,9.005555556,0.300185185,10.30018519,juvenile,juvenile,16011,R3_16011,Israel,Israel,confirmed dead,breeding,confirmed dead,dead,transmitter recovered,Probably snake bite,unknown,NA,unknown,293,juv,captive,N,10,32.56093979,34.93896103,32.55176544,34.95930481,y,Found,Age units are days,32.65054,34.98467
Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Middle East,Y,Amud H08 Blue,8/20/18 14:46,5/30/19 2:03,5/30/19 2:03,54,282.4706944,9.415689813,63.41568981,adult,adult,180318,Amud H08 Blue_180318,Israel,Israel,alive,NA,alive,alive,active,NA,NA,NA,unknown,ad,adult,wild,Y,284,32.88889694,35.49689102,32.9209938,35.5478096,y,still transmitting,"Found not flying, treated for a week at the Is Israel Wildlife Hospital and released. Migrated 2018 and returned to the same area in 2019, seen in a nest with two chicks.",32.8911,35.50102
Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Middle East,Y,Tlalim C48 Blue,3/18/19 11:30,5/30/19 2:11,5/30/19 2:11,54,72.61133102,2.420377701,56.4203777,adult,adult,171405,Tlalim C48 Blue_171405,Israel,Israel,alive,NA,alive,alive,active,NA,NA,NA,unknown,ad,adult,wild,Y,74,30.8218708,34.83675003,31.01068306,34.88015747,y,still transmitting,"Found (probably) posioned, treated for a week at the Is Israel Wildlife Hospital and released.",31.01144,34.87653
Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Middle East,Y,Gamla 2018 J4107,7/11/18 12:04,5/29/19 5:08,5/29/19 5:08,1,321.7116551,10.72372184,11.72372184,juvenile,juvenile,180322,Gamla 2018 J4107_180322,Syrian Arab Republic,Chad,alive,NA,alive,alive,active,NA,NA,NA,unknown,juv,juvenile,wild,N,302,32.89861298,35.76422882,15.66723537,23.67345619,y,still transmitting,Tagged in the nest,15.60361,23.21247
Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Middle East,Y,Gamla 2018 H36 Green,7/11/18 13:14,11/8/18 5:44,11/8/18 5:44,1,119.6876968,3.989589893,4.989589893,juvenile,juvenile,180319,Gamla 2018 H36 Green_180319,Syrian Arab Republic,Sudan,unknown,breeding,unknown,unknown,unknown,NA,NA,NA,unknown,juv,juvenile,wild,N,73,32.89871979,35.76559448,10.14315987,29.12295341,y,transmission ceased in a no-GSM wintering area,Tagged in the nest,10.87575,28.50705
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,unknown,Middle East,Y,Ardi,1/24/19 14:29,2/10/19 1:13,2/10/19 0:00,54,125.4472569,4.18157523,58.18157523,adult,adult,182265,Ardi_182265,Ethiopia,Saudi Arabia,likely dead,non-breed.,likely dead,dead,inferred from transmissions,NA,NA,NA,unknown,ad,adult,wild,N,127,11.79798126,41.05654526,20.23863792,43.19859695,y,static transmissions for 1 month,"tagged in Horn of Africa. Population determination based on where they migrated to. For birds that did not migrate, left as HoA",20.4841,42.82687
Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,W. Europe,Y,Guipuzcoa 03 - Ekhi - 5533,7/19/18 16:04,5/30/19 4:00,5/30/19 4:00,1,314.4972222,10.48324074,11.48324074,juvenile,juvenile,5533,Guipuzcoa 03 - Ekhi - 5533_5533,Spain,Mauritania,alive,NA,alive,alive,active,NA,NA,NA,unknown,juv,juvenile,wild,N,311,42.96061,-2.360367,16.89298,-12.39253,y,still transmitting,NA,16.01171,-10.63738
Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,W. Europe,Y,La Rioja 03 - Lidia -REKI38,7/20/18 6:00,5/30/19 6:00,5/30/19 6:00,1,314,10.46666667,11.46666667,juvenile,juvenile,48797732417,La Rioja 03 - Lidia -REKI38_48797732417,Spain,Senegal,alive,NA,alive,alive,active,NA,NA,NA,unknown,juv,juvenile,wild,N,305,42.88157,-2.632999,14.99103,-15.7048,y,still active,NA,14.99103,-15.7048
Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,W. Europe,Y,Guipuzcoa 02-Endoia-5534,7/17/17 13:25,9/7/17 4:00,9/7/17 4:00,1,51.60783565,1.720261188,2.720261188,juvenile,juvenile,5534,Guipuzcoa 02-Endoia-5534_5534,Spain,Spain,likely transmitter failure,fall mig.,likely transmitter failure,unknown,inferred from transmissions,NA,NA,NA,M,juv,juvenile,wild,N,53,43.19792,-2.277571,36.33941,-5.968527,y,long time between last fixesm during which bird moved significant distance,NA,37.93175,-5.83439
Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,W. Europe,Y,La Rioja 02-Quel-4405,7/20/16 8:45,1/1/18 6:31,1/1/18 6:31,1,529.9072569,17.66357523,18.66357523,immature,adult,4405,La Rioja 02-Quel-4405_4405,Spain,Mauritania,unknown,non-breed.,unknown,unknown,unknown,NA,NA,NA,M,juv,juvenile,wild,N,459,42.16989,-2.769875,17.2961,-14.94369,y,transmitter ceased abruptly while bird was moving,little movement for last 6 months,17.26699,-15.0083
Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,W. Europe,Y,La Rioja 01-Brieva-4404,7/20/16 8:45,3/31/17 11:45,3/31/17 11:45,1,254.1249653,8.470832177,9.470832177,juvenile,juvenile,4404,La Rioja 01-Brieva-4404_4404,Spain,Mauritania,unknown,breeding,unknown,unknown,unknown,NA,NA,NA,M,juv,juvenile,wild,N,209,42.16987,-2.769862,16.96502,-11.03883,y,transmitter ceased abruptly while bird was moving,NA,17.16885,-10.98894
