species,study.name,population,population.binned,migrant,id,start.date,end.date,mortality.date,age.at.deployment.month,deployment.duration,deployment.duartion.month,age.at.fate.month,age.at.fate,age.at.fate.simple,tag,id.tag,start.country,end.country,fate.old,fate.annual.stage,fate.final,fate.final.binned,how.fate.determined.clean,cause.of.death,cause.of.death.simple,death.anthro,sex,age.at.deployment,age.at.deployment.clean,origin,rehabilitated,n.locs,start.lat,start.long,end.lat,end.long,data.owner.proofed,how.fate.determined,comments,lat.mort,long.mort
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Ertale,1/26/19 9:05,5/30/19 0:32,5/30/19 0:32,54,123.6433333,4.121444443,58.12144444,adult,adult,182252,Ertale_182252,Ethiopia,Turkey,alive,NA,alive,alive,active,NA,NA,NA,unknown,ad,adult,wild,N,125,11.54074192,40.81601715,39.50958633,32.15328979,y,still transmitting,"tagged in Horn of Africa. Population determination based on where they migrated to. For birds that did not migrate, left as HoA",39.22865,31.83261
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Iliaz,8/30/12 6:00,5/30/19 12:00,5/30/19 12:00,2,2464.25,82.14166667,84.14166667,adult,adult,118153,Iliaz_118153,Bulgaria,Bulgaria,alive,NA,alive,alive,active,NA,NA,NA,unknown,juv,juvenile,wild,N,2448,41.44,25.56833,41.2745,25.19317,y,still transmitting,NA,41.2745,25.19317
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Jenny,7/30/15 10:00,5/28/19 2:00,5/28/19 2:00,54,1397.666667,46.5888889,100.5888889,adult,adult,149507,Jenny_149507,Bulgaria,Bulgaria,alive,NA,alive,alive,active,NA,NA,NA,F,ad,adult,wild,N,1391,41.58367,25.65033,41.59167,25.44517,y,still transmitting,NA,41.59167,25.44517
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Akaga,5/16/18 0:15,5/30/19 6:19,5/30/19 6:19,11,379.2530556,12.64176852,23.64176852,immature,adult,171362,Akaga_171362,Bulgaria,Ethiopia,alive,NA,alive,alive,active,NA,NA,NA,unknown,2nd yr,immature,captive,N,380,41.59421539,25.64131165,12.42877293,40.21025467,y,still transmitting,NA,12.42939,40.24082
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Boyana,5/16/18 0:16,5/30/19 3:09,5/30/19 3:09,11,379.1201852,12.63733951,23.63733951,immature,adult,171357,Boyana_171357,Bulgaria,Chad,alive,NA,alive,alive,active,NA,NA,NA,F,2nd yr,immature,captive,N,380,41.59446335,25.64115906,13.17770863,17.37357903,y,still transmitting,NA,13.19594,17.18089
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Panteley,5/16/18 0:28,5/30/19 1:16,5/30/19 1:16,11,379.0337847,12.63445949,23.63445949,immature,adult,171360,Panteley_171360,Bulgaria,Bulgaria,alive,NA,alive,alive,active,NA,NA,NA,M,2nd yr,immature,captive,N,379,41.59446335,25.64143372,41.59857941,23.84302521,y,still transmitting,NA,41.59856,23.84307
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Polya,5/16/18 0:14,5/30/19 1:56,5/30/19 1:56,11,379.0704282,12.63568094,23.63568094,immature,adult,171356,Polya_171356,Bulgaria,Sudan,alive,NA,alive,alive,active,NA,NA,NA,F,2nd yr,immature,captive,N,380,41.59454346,25.64137459,16.45769691,33.92584229,y,still transmitting,NA,16.4577,33.92584
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Svetlina,8/17/12 10:00,6/10/14 1:00,5/31/14 0:00,2,748.625,24.95416667,26.95416667,immature,adult,118152,Svetlina_118152,Bulgaria,Sudan,likely dead,spring mig.,likely dead,dead,inferred from transmissions,unknown,NA,NA,unknown,juv,juvenile,wild,N,750,41.62283,25.8975,17.91383,38.27417,y,static transmission for 3 days,The bird died on 09.06.2014 and since then the transmitter is sending signal from the same location,14.71,39.88833
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Belgin,8/9/18 1:56,9/18/18 0:17,9/18/18 0:17,2,39.93148148,1.331049383,3.331049383,juvenile,juvenile,171346,Belgin_171346,Bulgaria,Turkey,likely dead,fall mig.,likely dead,dead,inferred from transmissions,drowned,NA,NA,unknown,juv,juvenile,wild,N,41,41.63591003,25.85634422,36.2170105,29.85806656,y,ceased near sea,track ends in sea,38.14329,28.86849
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Katerina,8/9/13 13:49,8/31/14 7:00,10/1/13 0:00,2,386.7159722,12.89053241,14.89053241,juvenile,juvenile,130671,Katerina_130671,Greece,Egypt,likely dead,breeding,likely dead,dead,inferred from transmissions,drowned,NA,NA,unknown,juv,juvenile,wild,N,67,41.161,26.237,31.15617,29.964,y,ceased near sea,Bird drowned on the 18/9/2013 although carcass likely washed up on beach in Egypt on the 10/10/2013. Contacted locals to try to find it. Claimed they never did but a year later there were some fixes from Alexandria!!,32.539,27.494
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Balkans & Italy,Y,Regina,8/27/16 4:00,9/8/16 2:00,9/8/16 2:00,2,11.91666667,0.397222222,2.397222222,juvenile,juvenile,149506,Regina_149506,Bulgaria,NA,likely dead,fall mig.,likely dead,dead,inferred from transmissions,drowned,NA,NA,F,juv,juvenile,captive,N,13,43.64817,26.0595,36.2745,30.43483,y,ceased near sea,Track ends in sea. Captive-bred from Vienna Zoo; originates from Turkish population,36.2745,30.43483
