mean,sd,2.5%,25%,50%,75%,97.5%,Rhat,n.eff,overlap0,f,parameter
0.0789893811377633,0.00585442962320213,0.0679627728818182,0.0749598209949105,0.0788361393377657,0.0828614126826737,0.0908043333751058,1.00011375801536,12000,0,1,p.seen.alive
22.8858768362313,15.6253231595451,5.03741945755014,10.5972849281015,17.4863824791056,32.4203479017504,63.6840094445784,1.41142167468508,9,0,1,base.obs
-3.93032901101905,0.236080100206051,-4.40773279602008,-4.08593691373719,-3.92728305916722,-3.76799297895764,-3.48009899196329,1.00020826438825,12000,0,1,base.fail
0.385698760618609,0.0897479214588722,0.210397208790561,0.325844346277358,0.3844919816672,0.444951283366502,0.565193569581118,1.00016581563944,7177,0,1,base.recover
-0.22781152967246,0.101288295940385,-0.440888496808754,-0.292853139580396,-0.224115668454161,-0.156599234339292,-0.0425696226376183,1.00076384619788,2311,0,0.993583333333333,beta2
0.515758893749529,0.178334411555869,0.158228410859676,0.396588254295289,0.518176321188681,0.637481136610694,0.855162285975853,1.00008889178575,12000,0,0.996666666666667,beta3
-0.0216312469921148,0.00276508005442135,-0.0271158722948944,-0.0234584881448504,-0.0216190725318242,-0.0197680934810937,-0.016298400414723,1.00026626326639,5215,0,1,beta4
0.945819687816602,0.0129400043779331,0.915852526497211,0.938027146633592,0.947063582785619,0.955096479221291,0.96738787431068,1.00033946698863,5982,0,1,mean.phi
2.88807546810808,0.253570951717162,2.3872844585028,2.71708244963558,2.88427471452352,3.05729615631087,3.38991535314125,1.00049654317465,4445,0,1,lp.mean
-0.813403319213724,0.247835703976509,-1.28980873387921,-0.98266587625564,-0.815615360882025,-0.649741936892786,-0.317616517971529,1.00016851895599,12000,0,0.998833333333333,b.phi.mig
-0.275986097855436,0.238294123671677,-0.744980215877284,-0.435992524102073,-0.274959651438512,-0.116376828131877,0.184438103986802,1.00034769027815,12000,1,0.87675,b.phi.capt
0.675858793020886,0.314631815223294,0.109505084800685,0.450034712277387,0.663801717438034,0.881506313336311,1.3303252135677,0.999900071305694,12000,0,1,b.phi.pop
0.0304283211582507,0.00552756871508531,0.0202213705528785,0.0265697231655291,0.0302463526602516,0.0340056219488603,0.0419179325756043,1.00046911972474,4096,0,1,b.phi.age
0.6744102382445,0.317577720850273,0.0757141271774935,0.456712157803078,0.664373859769977,0.883884115635004,1.31939776074098,1.00022844564858,6495,0,0.987,b.phi.lat1
6299.76861444179,2.96592724186659,6295.41446725693,6297.70025125094,6299.32281621454,6301.30402388948,6306.68098995215,1.00213343887974,1501,0,1,deviance
