"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter","model"
0.960590604860131,0.0242328352217042,0.907308984508733,0.946821886705735,0.965432037589253,0.978514964701689,0.992498308918081,1.02806856948714,107,0,1,"mean.phi[1]","m31.final.fate"
0.6670117328235,0.114590366539457,0.504502277142683,0.568046830093909,0.654324837510882,0.752079957003868,0.88533966853181,1.0617882257283,49,0,1,"mean.phi[2]","m31.final.fate"
3.39927407013141,0.705914175064402,2.28121157405644,2.87947073226744,3.32964840297296,3.81868073561856,4.88510512441455,1.05204956697358,58,0,1,"lp.mean[1]","m31.final.fate"
0.756662490400122,0.586933567243813,0.0180095953618911,0.273886683734787,0.638106768005133,1.1097374076977,2.04399754605447,1.07145797219892,45,0,1,"lp.mean[2]","m31.final.fate"
0.0700054742979501,0.00661053038589962,0.0579897575348541,0.0654773668398371,0.0697418847164009,0.074459976868219,0.0828146216803777,1.00071419111979,800,0,1,"p.seen.alive","m31.final.fate"
0.39074053663716,0.00963709108276319,0.371879915026443,0.38485572233397,0.391198724533473,0.397270256340383,0.408117873742338,1.00163514416098,634,0,1,"p.found.dead","m31.final.fate"
0.0802415863055938,0.0164322864028229,0.0482967034809664,0.0687542711214604,0.0792128261947514,0.0914318710109097,0.113581465626019,1.00405437626792,412,0,1,"b.phi.age","m31.final.fate"
3.15325109862019,0.812420573359594,1.6026212503541,2.61854065802496,3.15227531597207,3.73417542284598,4.66512027916523,1.06296828435365,57,0,1,"b.phi.mig[1]","m31.final.fate"
2.59833036943086,0.850618184235109,0.906696637165744,2.00742092027513,2.59381378718885,3.21673723256232,4.18260059050405,1.05342528443063,61,0,0.9975,"b.phi.mig[2]","m31.final.fate"
-0.536389886901691,0.298348086323878,-1.13909407445173,-0.717510423193286,-0.545004302099984,-0.339918992544038,0.0506886104308257,1.00521886674162,352,1,0.9675,"b.phi.capt","m31.final.fate"
-0.0358271724195956,0.0128509260729688,-0.0611069201659565,-0.0445118645362065,-0.0357666698737943,-0.0270595571757225,-0.00965630182466378,1.00709928968568,376,0,0.99875,"b.phi.lat","m31.final.fate"
-0.0114005056457831,0.00736972752844129,-0.0254087661777829,-0.0167643612982406,-0.0115646007185777,-0.00626322842041931,0.00289532132639292,1.00043782312471,800,1,0.93375,"b.phi.long","m31.final.fate"
4212.48039228869,2.62805717098701,4207.49524184261,4210.92265118864,4212.21306583764,4213.65612931733,4218.71516308901,1.00024167717655,800,0,1,"deviance","m31.final.fate"
