pop,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
Caucasus/Middle East,adult,wild,0.947261827050323,0.910910651671323,0.970933487330279
Caucasus/Middle East,juvenile,captive,0.339813093571042,0.182330769599637,0.514176195713545
Caucasus/Middle East,juvenile,wild,0.614586174237988,0.471825710630022,0.738816639849362
Italy/Balkans,adult,wild,0.936739567497076,0.892249200072641,0.963544957653051
Italy/Balkans,juvenile,captive,0.277276055704186,0.154300172760583,0.453702786748472
Italy/Balkans,juvenile,wild,0.566240836458547,0.430261846567815,0.691310068062943
western Europe,adult,wild,0.962343991445123,0.939151370147623,0.978404909951627
western Europe,juvenile,captive,0.381106213240702,0.22269356486324,0.561322147431897
western Europe,juvenile,wild,0.650986395584702,0.528026096221148,0.76052592758093
