pop,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
Caucasus/Middle East,adult,wild,0.908454512160981,0.846455632085139,0.949372983517942
Caucasus/Middle East,juvenile,captive,0.742809739603534,0.601208409011683,0.856338463027846
Caucasus/Middle East,juvenile,wild,0.87241735801003,0.763877284761023,0.934713196164847
Italy/Balkans,adult,wild,0.724219925019029,0.620733065346905,0.819954144910943
Italy/Balkans,juvenile,captive,0.385525529971714,0.224181313118018,0.572692624518344
Italy/Balkans,juvenile,wild,0.640922946162625,0.492613155455236,0.770990345144267
western europe,adult,wild,0.977914393886077,0.939347900108232,0.99453318848097
western europe,juvenile,captive,0.942712191564045,0.833302141781336,0.987023321366316
western europe,juvenile,wild,0.974283862543168,0.925563697355889,0.993308567084296
