"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter","model"
0.957950796265596,0.0249994904616592,0.901906526551235,0.941663219925642,0.961458480291063,0.978032778370123,0.994830802666807,1.02843629625218,107,0,1,"mean.phi[1]","m31.ron.fate"
0.649269686766396,0.122177495933769,0.504167379909558,0.549593262011802,0.611683699642288,0.742284010775501,0.911221795632378,1.07509871142792,42,0,1,"mean.phi[2]","m31.ron.fate"
3.34946726228545,0.771557938153465,2.21859011975051,2.78141581533743,3.21671529973987,3.79599177025731,5.2598569380886,1.06559318884095,60,0,1,"lp.mean[1]","m31.ron.fate"
0.693803041145361,0.669913914524326,0.0166699056553386,0.19902746037128,0.454395124682642,1.05787605989079,2.32875272642424,1.09771535911702,42,0,1,"lp.mean[2]","m31.ron.fate"
0.0827209084622431,0.00702309712327123,0.0699942513702294,0.0780997121193629,0.0826233454796873,0.0874159722131308,0.0968256502143434,1.00545821184353,417,0,1,"p.seen.alive","m31.ron.fate"
0.367124955474057,0.00928980534568042,0.348771717195714,0.361085255058033,0.367742489654042,0.373586218655597,0.384359049440904,1.00090971000898,800,0,1,"p.found.dead","m31.ron.fate"
0.0766850006570106,0.0148319874942751,0.0491405981899929,0.0659147672850975,0.0758154884628094,0.086263849707559,0.106347561131121,1.00325782485756,572,0,1,"b.phi.age","m31.ron.fate"
2.87217581353911,0.868071190546757,0.980563682988521,2.25916479277217,3.02521014985298,3.4927787992715,4.24376023596184,1.07040923817656,48,0,1,"b.phi.mig[1]","m31.ron.fate"
2.45130231289917,0.906532223988175,0.411715520153223,1.88395427342945,2.57384524755864,3.07160231862227,3.99301584623262,1.07196321873333,48,0,0.99375,"b.phi.mig[2]","m31.ron.fate"
-0.616588908237818,0.287851385671536,-1.19166871710171,-0.813937844524246,-0.622461631610718,-0.418776363691151,-0.0553607968515994,1.01042812422746,211,0,0.985,"b.phi.capt","m31.ron.fate"
-0.0359119908313273,0.01208280717615,-0.0595933724766085,-0.0438458270856253,-0.0358870205905174,-0.0276351687790932,-0.0126134693803594,1.02131658397112,165,0,0.99875,"b.phi.lat","m31.ron.fate"
4377.71186931509,2.19182151444425,4374.54027815866,4376.29540779516,4377.2375138833,4378.70157903684,4383.09565448997,1.0106401515074,204,0,1,"deviance","m31.ron.fate"
