adult,pop,med.surv,lcl.surv,ucl.surv,Population,Age
0,west,0.981832114880631,0.956011514699217,0.993728468132621,Europe (West),adult
0,east,0.964260308576167,0.92590766652954,0.985990451909601,Europe (East),adult
0,south,0.981469880807208,0.955214627986844,0.993540665945066,Southern,adult
1,west,0.778866016909138,0.620223977407488,0.890018327730182,Europe (West),juvenile
1,east,0.635917702056511,0.48470414119231,0.761397123686681,Europe (East),juvenile
1,south,0.666276088338494,0.450480069596057,0.82856989647404,Southern,juvenile
