Seq,id.year,1,2,3,4,5,6,7,8,9,10,11,12
338,Sharka_182256_2019.png,0,0,0,0,1,0,0,0,0,0,0,0
339,Spartacus_61952_2010.png,0,0,0,0,0,0,0,1,2,2,2,1
340,Spartacus_61952_2011.png,1,0,0,0,0,0,0,0,0,0,0,0
341,Svetlina_118152_2012.png,0,0,0,0,0,0,0,1,2,2,2,1
342,Svetlina_118152_2013.png,1,1,1,1,1,1,1,1,1,1,1,1
343,Svetlina_118152_2014.png,1,1,1,1,1,1,1,1,1,0,0,0
344,Tlalim C48 Blue_171405_2019.png,0,0,1,1,1,0,0,0,0,0,0,0
345,Tobia_48500501945_2015.png,0,0,0,0,0,0,0,0,2,2,1,1
346,Tobia_48500501945_2016.png,1,1,1,1,1,1,1,1,1,1,1,1
347,Tobia_48500501945_2017.png,1,1,1,1,1,1,1,1,1,1,1,1
348,Tobia_48500501945_2018.png,1,1,1,1,2,1,1,2,2,1,1,1
349,Tobia_48500501945_2019.png,1,1,1,1,2,0,0,0,0,0,0,0
350,Tuzluca_209_2013.png,0,0,0,0,0,1,1,2,2,1,1,1
351,Tuzluca_209_2014.png,1,1,1,2,1,1,1,1,2,1,1,1
352,Tuzluca_209_2015.png,1,1,2,2,1,1,1,1,2,1,1,1
353,Tuzluca_209_2016.png,1,1,2,2,1,1,1,1,2,2,0,0
354,Volen_118148_2012.png,0,0,0,0,0,0,0,1,2,1,1,1
355,Volen_118148_2013.png,1,1,1,1,1,1,1,1,1,1,1,1
356,Volen_118148_2014.png,1,1,1,1,2,2,1,1,2,0,0,0
357,Wesal_182264_2019.png,0,0,0,1,1,0,0,0,0,0,0,0
358,White 08_119246_2013.png,0,0,1,1,1,1,1,1,0,0,0,0
359,White 12_119245_2013.png,0,0,1,1,1,1,1,1,2,1,1,1
360,White 12_119245_2014.png,1,1,1,1,2,2,1,1,1,1,1,1
361,White 12_119245_2015.png,1,1,1,2,1,2,1,1,1,1,1,1
362,X34 Blue_16126_2017.png,0,0,0,1,1,1,1,1,1,2,1,1
363,X34 Blue_16126_2018.png,1,1,1,1,2,1,1,2,0,0,0,0
364,X86 Blue_180321_2018.png,0,0,0,0,0,0,0,0,0,0,0,1
365,X86 Blue_180321_2019.png,1,0,0,0,0,0,0,0,0,0,0,0
366,Yellow 04_119246_2013.png,0,0,0,0,0,0,0,0,0,0,1,1
367,Yellow 04_119246_2014.png,1,1,1,1,1,1,1,1,1,1,1,1
368,Yellow 04_119246_2015.png,1,1,1,1,1,0,0,0,0,0,0,0
369,Zikmund_171349_2018.png,0,0,0,0,0,0,0,1,1,0,0,0
