Seq,id.year,1,2,3,4,5,6,7,8,9,10,11,12
86,9FH_370_2017.png,0,0,0,0,0,0,1,1,1,2,1,1
87,9FH_370_2018.png,1,0,0,0,0,0,0,0,0,0,0,0
88,9FJ_5783_2017.png,0,0,0,0,0,0,1,1,2,1,1,1
89,9FJ_5783_2018.png,1,0,0,0,0,0,0,0,0,0,0,0
90,A02 Green 2013_3514_2014.png,0,0,0,1,1,1,2,2,1,1,1,1
91,A02 Green 2013_3514_2015.png,1,1,1,1,1,1,1,1,1,1,1,1
92,A02 Green 2013_3514_2016.png,1,1,1,1,2,1,1,2,1,1,1,1
93,A02 Green 2013_3514_2017.png,1,1,1,2,0,0,0,0,0,0,0,0
94,A17 Green_17113_2017.png,0,0,0,1,1,1,1,0,0,0,0,0
95,A25 Green_171087_2017.png,0,0,0,0,0,0,0,0,0,0,0,1
96,A25 Green_171087_2018.png,1,1,1,1,0,0,0,0,0,0,0,0
97,A26 Green_171080_2017.png,0,0,0,0,0,0,0,0,0,0,0,1
98,A26 Green_171080_2018.png,1,1,1,1,1,1,1,2,2,1,1,0
99,A26 Green_171080_2019.png,0,0,0,0,2,0,0,0,0,0,0,0
100,A46 Green_17112_2017.png,0,0,0,1,1,1,1,1,1,1,1,1
101,A46 Green_17112_2018.png,1,1,1,1,1,0,0,0,0,0,0,0
102,A47 Green_171082_2017.png,0,0,0,0,0,0,0,0,0,0,0,2
103,A47 Green_171082_2018.png,2,1,1,1,1,1,1,1,0,0,0,0
104,AF5AF11F_NA_2018.png,0,0,0,0,0,0,0,1,2,0,0,0
105,Agata_119157_2015.png,0,0,0,0,0,0,0,1,1,0,0,0
106,Agri_130662_2013.png,0,0,0,0,0,1,1,1,2,1,1,1
107,Agri_130662_2014.png,1,1,2,2,1,1,1,0,0,0,0,0
108,Akaga_171362_2018.png,0,0,0,0,1,1,1,2,2,1,1,1
109,Akaga_171362_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
110,Alimerah_182254_2019.png,1,1,1,1,1,0,0,0,0,0,0,0
111,Amud H08 Blue_180318_2018.png,0,0,0,0,0,0,0,1,2,1,1,1
112,Amud H08 Blue_180318_2019.png,1,1,2,2,1,0,0,0,0,0,0,0
113,Andi_182261_2019.png,0,0,0,0,1,0,0,0,0,0,0,0
114,Aneta_48500502206_2015.png,0,0,0,0,0,0,0,0,2,2,0,0
115,Anna_171348_2018.png,0,0,0,0,0,0,0,1,2,0,0,0
116,Aoos_118154_2015.png,0,0,0,1,1,1,1,1,2,1,1,1
117,Aoos_118154_2016.png,1,1,2,2,1,1,1,1,2,2,1,1
118,Aoos_118154_2017.png,1,1,2,2,1,1,1,1,2,1,1,1
119,Aoos_118154_2018.png,1,1,2,2,1,1,1,2,2,1,1,1
120,Aoos_118154_2019.png,1,1,2,2,1,0,0,0,0,0,0,0
121,Apollo_16093_2017.png,0,0,0,0,0,0,1,1,2,0,0,0
122,Aras_118176_2012.png,0,0,0,0,0,0,0,1,2,1,1,1
123,Aras_118176_2013.png,1,1,0,0,0,0,0,0,0,0,0,0
124,Arda_118147_2012.png,0,0,0,0,0,0,0,1,2,2,1,1
