Population,Ageclass,Origin,med.surv,lcl.surv,ucl.surv
Balkans/Italy,adult,wild,0.909214259050855,0.852977099862916,0.946019817970004
Balkans/Italy,juvenile,captive,0.165898585232294,0.0526958310387142,0.400974896771143
Balkans/Italy,juvenile,wild,0.226314702796078,0.0753206203252511,0.447922315210543
Caucasus/Middle East,adult,wild,0.909214259050855,0.852977099862916,0.946019817970004
Caucasus/Middle East,juvenile,captive,0.375393708909213,0.230823607418535,0.536739493419865
Caucasus/Middle East,juvenile,wild,0.441820491857207,0.293581904576796,0.595327399057661
western Europe,adult,wild,0.988718087820892,0.969205998102846,0.995334998562934
western Europe,juvenile,wild,0.908994316443152,0.790324876110511,0.957847606286181
