adult,pop,med.surv,lcl.surv,ucl.surv,Population,Age
0,west,0.975712803797164,0.939829620341449,0.99194886029945,Europe (West),adult
0,east,0.951672311578182,0.895755302557734,0.981687462083316,Europe (East),adult
1,west,0.588498525839494,0.37224833379836,0.772247062769338,Europe (West),juvenile
1,east,0.355322599839681,0.188373968289901,0.543212638200752,Europe (East),juvenile
