"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter","model"
0.951491612628206,0.0277737756590488,0.886236795994931,0.934996542201665,0.955759540077175,0.973503010864224,0.989529864629296,1.00996008903042,355,0,1,"mean.phi[1]","m31.final.fate.red"
0.639781992814693,0.10243841600625,0.504645383734047,0.552044755032572,0.617619150842052,0.716444602508362,0.851003337707263,1.03926778699367,79,0,1,"mean.phi[2]","m31.final.fate.red"
3.15391138983969,0.656131552147154,2.0528650488632,2.66610351777505,3.07286698382763,3.60386995035979,4.54870348602513,1.02785695859731,128,0,1,"lp.mean[1]","m31.final.fate.red"
0.612117350278759,0.489839255395945,0.0185820696180227,0.208935800377832,0.479454990382065,0.926893519255192,1.7424921565177,1.04604591467423,73,0,1,"lp.mean[2]","m31.final.fate.red"
0.0697728119218719,0.00631431941290825,0.0585271443250109,0.0653380949393433,0.0694711262269819,0.0739112434983108,0.0831160501627957,0.998570122274933,800,0,1,"p.seen.alive","m31.final.fate.red"
0.390790757003857,0.00968290788192828,0.371402073357435,0.384367891072076,0.39069475422893,0.397338073075202,0.40927063460622,1.00478361326476,800,0,1,"p.found.dead","m31.final.fate.red"
0.077226535195615,0.0157773444503086,0.0469247048632075,0.0663624334942654,0.0764281953580613,0.0874799382450405,0.110934504879704,0.99787659940718,800,0,1,"b.phi.age","m31.final.fate.red"
3.04459138913097,0.730779349490515,1.57957822866735,2.53889686007676,3.10491614980644,3.55192443163941,4.37422206240358,1.05283693360229,81,0,1,"b.phi.mig[1]","m31.final.fate.red"
2.50347970567197,0.773185322600146,0.97060231523825,1.99053242074933,2.52996392678002,3.04823689871439,3.87552702187195,1.05020213496084,74,0,1,"b.phi.mig[2]","m31.final.fate.red"
-0.62483545594166,0.298814506490109,-1.1855875771882,-0.820952183354909,-0.633654813975369,-0.429127752367579,-0.0657697762735353,0.998534677317597,800,0,0.98125,"b.phi.capt","m31.final.fate.red"
-0.0341183944740999,0.0129206226363135,-0.0586981337813218,-0.042844823389074,-0.0333345900792021,-0.0258631572321466,-0.00892073832074889,1.02411476455534,123,0,0.9975,"b.phi.lat","m31.final.fate.red"
4211.97684475257,2.68231636894038,4207.38230593089,4210.36550983388,4211.80171567218,4213.2356315321,4218.46811222208,1.08798310369722,33,0,1,"deviance","m31.final.fate.red"
